Cd7
Gzma
Cd160
Rgs1
Fos
Dusp1
Trgv2
Chn2
Trbv4
Ptger4
Adgrg1
Jun
Gzmk
Cxcr6
Abi3
Lax1
Cd244
Ccl5
Serpina3g
Cd3g
Sept4
Actn2
Nedd9
Fasl
Abcb9
Cela1
Ppp1r15a
Trbc2
Junb
AC163354.1
5830405F06Rik
Gimap7
Cd200r1
Gm28942
Cd38
Trbv14
Rgs3
Apol7e
Cish
Fgl2
Pglyrp2
2900026A02Rik
Adam19
Trbv3
Glrx
Cd3e
Prkch
Tcrg-C2
Vmp1
Mxd4
Car2
Trac
Irf1
Fosb
Arl6ip1
Padi2
Klf6
Cd200r2
Sipa1
Efhd2
Ucp2
Cd200r4
Gm14029
Trbv12-2
Chst12
Prrt1
Fyn
Wbp1
Dapk2
Tapbpl
Hic1
Rcn1
Gem
Prdx5
Tnfaip3
Gng2
Arhgap9
Dusp6
Serpinb6b
Glcci1
Tap2
Gngt2
Entpd1
Akna
Mfsd10
Ifi27
Pfdn5
Rps6ka1
Cebpb
Bcl2
Pvrig
Pstpip1
Tnfrsf1a
Pnrc1
Rnaset2b
Runx3
Ptpn18
Dusp2
Stk17b
Art2b
Stard3nl
Mbnl1
Aplp1
Gm20069
Lrrk1
Zfp36
Lcp2
Pelo
Cd226
Gm12216
Gimap5
Trav6-7-dv9
Atp6v0a2
Ppm1b
Rnaseh2c
Cd101
Baiap3
Tmem135
Cbx4
Crot
Nsmaf
Rbl2
Kcna3
Cox8a
Foxn3
Sec11c
H3f3b
Slc39a6
Stk39
Susd3
Gadd45b
Sytl3
Tsc22d4
Cd82
Traf5
Lbh
Chsy1
Ubc
Osgin1
Plekhf1
Pdgfb
Pde7a
Itm2b
Ptprcap
Lcp1
Itk
Srsf5
Vps37b
Frmd4b
Scly
Map4k1
Setbp1
Sh2d3c
Ildr1
Rnaset2a
Gimap6
Ubac2
Zbtb38
Arhgap10
Cetn2
Itih5
Srbd1
Cers4
Tcirg1
Trbv13-2
Ptk2b
Snai3
Slc9a3r1
Sytl2
Trbc1
Abcg1
Lat
Lat2
5830432E09Rik
Camk2n1
Ica1
Izumo4
Gimap4
Slc16a6
Fbxo9
Slc16a10
Rpl27
Baiap2
Abcb1a
Gimap3
Ptp4a3
Gnptg
Ypel3
Agfg1
Aplp2
Etv3
Fam189b
Aim2
Rftn1
Mob3a
Sash3
Prmt2
Dock10
Tmem38b
Lpar6
Ubash3a
Rgs2
Gm29243
Rnf167
Cipc
Lta4h
Ddx5
Epcam
Rab8b
Glp1r
Ubl5
Zwint
Slamf1
Unc119
Tmem191c
Suco
Ppp1r18
Gm16033
Inpp5b
Ubb
Abr
Phf1
Sla2
St14
Tox4
Rasgrp1
Eif4e3
Actr1b
Wdr6
Gsdmd
Il16
Hnrnph3
Itpkb
Ikzf1
Soat2
Clta
Gm11454
Nedd4
Foxo3
Acap1
Eif5
Ggnbp2
Itpk1
AC147041.1
Crbn
Irf2bpl
Tbc1d10c
Aak1
Lasp1
Ankrd12
Ube2v1
Hdhd5
C730034F03Rik
Csk
Spcs2
Irak2
Eif4a2
Nmb
Inpp5d
Cd72
