Gene
TPM1
IGSF8
CDK9
CDKN1A
TPM4
TMEM88
EPO
EPOR
NRG1
TREX1
ERBB2
ERBB3
ERBB4
XIRP1
B4GALT7
ABL1
NOG
GJD2
MSC
ZMPSTE24
VRK3
ACADM
PDGFRA
UBE4B
CENPF
PDGFRB
LEMD3
VGLL2
MIR499A
SMYD1
MAT2A
CFL2
RBM10
SPEG
RPS6KB1
ACTA1
MIR509-1
GDF6
MBNL1
HLF
SYNPO2L
SAV1
ACTC1
HLX
TMOD3
TSC1
SMYD5
KLHL41
HMGCR
GOLGA6A
ACTN1
ACTN2
ZFPM1
MEG3
ACTN3
ACVR1
EYA1
EYA2
NR4A1
SOX8
ERVW-1
ARID1A
DYSF
COPS2
TTN
CHRM2
TRIP10
CHRM3
MEF2A
CHRNA1
MEF2C
GTF3C5
RXRA
MEF2D
RXRB
RXRG
MEIS1
RYR1
RYR2
MYORG
CEMIP2
FER1L6
PGM5
RYR3
HNRNPL
CHRND
HNRNPU
HMG20B
TWIST1
SMPX
MTPN
KLF2
JAM2
MEOX2
EOMES
CITED2
MYL7
FZD7
MET
CAVIN4
S100B
NLN
ADRA1B
ADRA1A
HEG1
MRTFB
ADRB1
ADRB2
MYOZ1
HOXD9
HOXD10
FKTN
PIM1
YAP1
CBY1
FDPS
MYL6B
PRMT5
PIN1
AGT
AGTR2
PITX1
SCN5A
APLNR
PITX2
CCDC78
PKD2
FES
ALPK3
AHR
PKP2
FGF1
FGF2
MYL11
FGF3
PRMT1
FGF8
HAND1
COL14A1
PLAGL1
FGF9
MAFF
FGFR1
FGFR2
FBXO32
PLEC
HSD17B1
FHL1
FHL2
QKI
DNAJB2
ZNF418
GMPPB
PLN
FKBP1A
ZBTB18
PLOD2
MIR675
HOMER1
VCP
FOXC1
HAND2
ERVFRD-1
VEGFA
FOXC2
AKAP6
PMP22
COL3A1
SOX6
ATG5
CARM1
SNHG15
FOXO1
MED20
COL6A1
HSPG2
FLNB
FOXN2
MAP2K4
SEMA3C
TSHZ3
MTMR12
SCHIP1
COL11A1
SORBS2
DDX17
COL15A1
CYP26B1
ANG
MYOT
ANGPT1
COL19A1
NEBL
SLC25A4
ATG7
DLL4
PI16
FKRP
SGCB
IFT20
SGCD
SGCG
WNT2
FOS
WNT5A
KLHL40
WNT8A
EGLN1
ICAM1
WNT10B
EFEMP2
CNTNAP1
LEMD2
BAG3
GOLGA6C
LRRC10
MYO18A
WT1
GOLGA6D
ITGA8
APC
SHH
ID2
NRG2
SHOX2
AMBRA1
NOX4
UQCC2
FHOD3
XK
POU4F1
SPG11
WWTR1
TCAM1P
YBX3
CHD7
VPS54
IRX3
GATA5
NIBAN2
PPARA
BARX2
SIRT6
MED1
SIX1
SKI
SKIL
KLK3
YY1
CREB1
DNAJB3
ZNF416
HDAC7
TCAP
PDLIM5
CRHR2
LARP7
MYLK2
TIPARP
ZIC3
MIR1-1
MIR1-2
CRYAB
RHOA
MSX1
MSX2
LUC7L
MIR133A1
MIR133A2
MIR143
GOLGA8M
SLC8A1
IFRD1
SLC9A1
SIRT2
BMAL1
IGF1
MAPK14
ANKRD33
ARRB2
IGF2
PPP3CA
SNW1
TENM4
PPP3CB
DKK1
MIR145
DMRT2
IGFBP5
CCM2L
MIR17HG
KLF1
XIRP2
CTCF
P2RX2
MTOR
ANHX
UNC45B
FKBP1C
TP63
TNN
MTM1
ANKRD1
LRRC27
CSRP1
GOLGA8H
CSRP2
PRKAA1
RBFOX1
RBPJ
MIR195
CNTNAP2
OSR1
MIR19B1
MIR199B
SCUBE3
PRKAR1A
MIR19A
SMARCA4
MIR199A1
FLCN
MIR208A
NKX2-5
SMARCD3
MIR204
FOXP1
DMRTA2
MIR200B
SMO
MYOCD
MIR214
ATF3
MESP2
VGLL4
HAMP
MIR222
MAPK1
CTNNB1
ASB2
IHH
RBM24
ATP1A2
CACYBP
MAPK11
MIR25
MIR24-1
MIR23A
GOLGA8A
PRDM16
NEXN
G6PD
SIX2
NDRG4
MEGF10
CXADR
MYBPC1
PROX1
MYBPC2
MYBPC3
MYC
BOC
SOX9
HDAC9
LRRC39
SOX11
MYF5
SOX15
BCL9L
MYF6
MYH1
MYH2
MYH3
MYH4
MYH6
MYH7
MYH8
MYH10
MYH11
RIPOR2
MYL1
MYL2
MYL3
MYL4
SPAST
ILK
MYL6
MYLK
MYH13
HDAC4
MYO5B
VAMP5
MYO9A
HOPX
MYOD1
MYOG
INPP5K
GJB6
PSMA6
CYP26A1
STAC3
NACA
NAGLU
DNER
DAB2
GATA4
SRF
MAML1
FRS2
MYOZ2
GATA6
FADD
DAG1
ITGA6
SIK1
NCAM1
GOLGA6B
ZFAND5
BCL2
NKX2-6
ISL1
KAT2A
MESP1
POPDC2
SIX4
BCL9
ITGA7
NEB
KDM6B
PTCH1
PPP1R13L
PTEN
MSTN
BIN3
ITGB1
SCX
GFPT1
SAP30
BDNF
GFRA3
USP19
SMYD2
DDX5
DIPK2A
NDUFV2
GOLGA8N
CFLAR
JARID2
CCN4
GJA1
HDAC3
BMP2
DES
PPARGC1A
BMP4
TOMM70
GJA3
BMP5
GJA5
SGCZ
BMP7
BMPR1A
BMPR2
ALDH1A2
NEU1
FBXO22
POGLUT1
BTG2
NF1
FOXL2
