ACTN4
ADORA2A
ADORA2B
AGT
ANGPTL2
ANKRD28
ANP32A
ARFIP1
BNIP3
CASP4
CCL1
CCL3
NOCT
ADGRE5
CDC14A
CLEC4E
CSF1
CTSE
DDR1
DLG2
DTNA
DUSP6
EGR2
ETV6
MPZL2
F2R
FBXO34
FOXP1
FURIN
FYN
GABRA4
GADD45B
GCH1
GGA2
LILRB4
LPAR4
HEBP2
HIF1AN
HLF
HSD17B6
HSPA1A
IER3
ING4
IRF4
ISYNA1
JAK3
JARID2
JUP
KCNJ11
KCNK5
KCNQ5
KIFC3
KIF15
LAG3
LRRC3
MARCHF2
MICA
MMD
MYH14
MYL7
MYO1C
MYO1E
NDRG1
NFATC1
NOTCH1
NR4A2
NR4A3
OAZ3
HSPA4L
PFKP
PLA2G10
SRGN
RCBTB1
RNF19A
S100A5
SFRP4
SLC29A3
SOCS4
STX11
TAGAP
TEKT2
TINAG
TNFRSF19
TNFRSF4
TNFSF11
CD40LG
TNFSF9
TP53RK
ZFP36L1
ZNF629
