Cx3cr1
S1pr5
Zeb2
Klre1
Klrc1
Klf2
Klrk1
Rap1b
Il18rap
Ahnak
Klra9
Tbx21
Klf3
Ifitm10
Emp3
Klra3
Ccnd3
Itgb2
Ctsd
Borcs7
Rasgrp2
Spn
Bhlhe40
Txndc5
Tubb3
Snx10
Hopx
Cdkn2d
Zyx
Capn2
Smpdl3b
Apbb1ip
Lfng
Selplg
Nptn
Cd48
Rasa3
As3mt
Zmiz1
Ccnd2
Reep5
Racgap1
Flna
Atp2a3
Nfic
Plec
Laptm5
Lpin1
Thy1
Tmem37
Ifngr1
Ccdc88c
Cyth4
Id2
1700025G04Rik
Plek
Adgre5
Arl6ip5
Kcnab2
Atg4d
Bin2
Cyba
Slamf7
Cmpk1
Tm6sf1
Tmem163
Prr13
Iqgap2
Rap1gap2
H2-Q7
Psap
Ube2g2
Tmem71
Vopp1
Fxyd5
Calm2
Slc44a2
Arhgef3
Tpst2
Nipal3
H2-Q6
Spata13
Rap2a
P3h4
Msn
St3gal4
Crip2
AB124611
Ier2
Map7d1
Stard10
Cmklr1
Card19
Dusp5
Sdcbp
Pogk
Lamb3
F2rl2
Sept11
Pfkp
Rhof
Timp2
Ndfip2
Mfsd14b
Stk10
Fam49a
Acp5
N4bp1
Arpc1b
Capns1
Car5b
Nod1
Rnf166
Pxylp1
Gns
Pced1b
Fryl
Sptan1
Fbxo31
Matk
Fam69a
Tmed2
Bin1
Dock5
Ptpn4
Tyk2
Meis3
Cers2
Dbndd2
Phf13
Zdhhc20
Lair1
Hdgfl2
Ppm1j
Sfr1
Slc2a3
Ube2d3
Tmem50a
