Genes
KIR2DL4
CCL3
VCAM1
TNFRSF9
TNS3
NKG7
GZMB
SPRY2
CCL4
CCL4L1
CXCL13
AKAP5
LAG3
CD8A
IFNG
KLRD1
KLRC2
RDH10
AFAP1L2
ZBED2
FCRL3
GFOD1
FAM3C
TNFSF4
SLC2A8
HAVCR2
EGR2
ENTPD1
CCL5
PTMS
EOMES
ID3
TNIP3
CRTAM
PRF1
HLA-DQA2
TIMD4
MKI67
ZC3H12C
TIGIT
GZMH
CST7
HLA-DQA1
RRM2
FASLG
ETV1
PHEX
CADM1
CSF1
ITGA2
MYO7A
TYMS
CD8B
PON2
XCL2
TNFSF9
HLA-DRB6
PHLDA1
LRRC28
LINC00158
KIR2DL3
HLA-DRB1
CD200
HLA-DMA
