HIKESHI
P4HB
UBA52
MAPK1
RPA2
RPA3
TNRC6A
TNRC6B
TNRC6C
NUP210
RBX1
UBB
UBC
CREBBP
ETS1
LAMTOR1
EED
LAMTOR2
HSP90AA1
RBBP4
LAMTOR4
LAMTOR5
PSMB10
CDKN1A
ANAPC11
PSMA1
ATG4D
PSMA2
WIPI2
PSMA3
TFDP2
PSMA4
ATM
CYCS
PSMA5
WDR45
ANAPC16
PSMA6
EHMT1
PSMA7
EHMT2
TERF1
PSMC1
ATR
PSMC3
SOD1
PSMC4
PSMC5
PSMC6
PSME1
ATG3
NCF1
PSME2
ATG5
CHMP2A
CHMP2B
GSK3B
RPS19BP1
TPR
MDM4
ELOB
CDC26
ELOC
ST13
RPS6KA1
EEF1A1
RPS6KA3
CHMP4A
DNAJB1
CAMK2G
RPS27A
TXN2
PRDX1
PRDX2
DNAJB6
FKBP4
PRDX3
MAP2K3
MTMR14
ATG12
PRDX5
RHEB
PRDX6
GSTP1
ATG14
RELA
GPX1
VHL
HSPA1A
UBE2D1
TERF2IP
HSPA1B
UBE2D2
TXN
UBE2D3
HSPH1
CYBA
CDK4
HSF1
CDK6
MAPKAPK3
CITED2
MAP1LC3B
PSMD12
HIF1A
HMGA1
PSMD13
MINK1
PSMD14
HSP90AB1
PTGES3
CXCL8
HSBP1
NFKB1
UVRAG
CAT
PSMB1
CDKN2C
PSMB2
CDKN2D
FOS
PSMB3
CCS
JUN
GABARAPL1
GABARAPL2
PSMB6
KDM6B
PSMB8
PSMD2
TNIK
PSMB9
PSMD3
RANBP2
ATOX1
SEM1
PSMD6
GABARAP
PSMD7
PSMF1
CHMP3
STAT3
PSMD8
TINF2
PSMD9
CHMP7
CCAR2
HSPA4
YWHAE
BAG1
HSPA5
HSPA6
BAG3
DYNLL1
HSPA8
RB1CC1
BAG5
ANAPC5
DYNLL2
VCP
DNAJC2
CABIN1
CEBPB
