Gene
TANC2
RABEP2
HDAC9
IL12RB1
ENDOD1
MYADM
CPPED1
ARHGAP24
HK2
IMPDH2
PSEN2
SWAP70
ACADSB
HOPX
AXL
GOLM2
MATN2
TM7SF3
NCF1
PENK
GATA1
TMEM154
ACOT7
NEU3
GBP2
IRF4
TNFRSF18
NCF4
CCDC122
CD83
SAMSN1
WLS
ITGAE
ITGAV
F2R
CEP128
TRIM14
NIBAN3
MELK
SESN1
TRIM59
RXRA
MEF2D
TMBIM1
LCLAT1
CEMIP2
ZBED5
ABHD17C
FGL2
MPRIP
NRP1
TNFRSF4
BCLAF3
SLC35D1
CISH
SOCS2
CCR2
SEPTIN8
C9orf152
SERPINB6
PTPN13
NOD1
TBC1D4
NDRG1
KHDC1L
RRAGD
GBP4
ZNF608
SUOX
AHNAK
GLRX
PPM1L
ZC3H12D
SLC9B2
TMEM65
MTMR3
C3orf70
AHR
PHLPP1
SERINC3
SHE
PLAGL1
UNKL
CCR5
NR3C2
ITM2C
CCR6
PLCB4
TWSG1
IFT80
FBXO32
DENND5A
DMD
USP27X
HNRNPLL
PLP2
BANK1
ARHGAP21
TMEM64
ALOX15B
FOXP3
MPP1
ZCCHC18
SMAP1
CERK
NIBAN1
MDFIC
STIM2
STON1
FNTA
KLF6
CORO2A
NT5E
MAP3K8
ANXA4
TMEM158
SH3BGRL
DUSP4
LAD1
RNF135
VPS8
IRF8
PHTF2
PON2
CASP4
RASGEF1A
CCRL2
LAMC1
NFKBIZ
REL
CST7
ST3GAL2
AHCYL2
VPS54
GSAP
ODC1
INPP5F
ATP9A
ANKRD6
CDCP1
PHETA2
CHAMP1
ATXN1L
SLAMF1
DNAH7
RGS1
NCMAP
SLC2A1
SLC2A3
PRKRA
ERGIC1
NTN4
WDR45
ZC2HC1A
LMAN1
LRIG1
PLPP1
RNPEP
FRMD6
ZDHHC23
EBI3
ADAMTS6
GUCY1B1
ACOT11
CD86
OSBPL3
GPR68
SLC22A5
ENTPD1
CNKSR3
ZNF516
DAPP1
SNX18
CD274
H2AZ1
SCPEP1
CD81
RORA
ST6GALNAC4
IL1RL1
ZC3H12C
CTNNA1
TNFRSF1B
UBASH3B
ARHGAP18
KIF13A
NFAT5
PSMD14
FXYD2
SNORD89
SDCBP2
IL2RA
ATP2A2
FGD6
KLRG1
PBXIP1
MXD1
SOAT1
DGAT1
CDK6
