Gene
KIR2DL4
CCL3
VCAM1
TNFRSF9
TNS3
NKG7
GZMB
SPRY2
CCL4
CCL4L1
CXCL13
AKAP5
LAG3
CD8A
IFNG
KLRD1
KLRC2
RDH10
AFAP1L2
ZBED2
FCRL3
GFOD1
FAM3C
TNFSF4
SLC2A8
HAVCR2
EGR2
ENTPD1
CCL5
PTMS
EOMES
ID3
TNIP3
CRTAM
PRF1
HLA-DQA2
TIMD4
MKI67
ZC3H12C
TIGIT
GZMH
CST7
HLA-DQA1
RRM2
FASLG
ETV1
PHEX
CADM1
CSF1
ITGA2
MYO7A
TYMS
CD8B
PON2
XCL2
TNFSF9
HLA-DRB6
PHLDA1
LRRC28
LINC00158
KIR2DL3
HLA-DRB1
CD200
HLA-DMA
SMIM10
KLRK1
IFITM10
GOLIM4
FAM49A
SEMA4A
TMEM155
KLRC3
CDK1
CTSW
ITGAE
NCR1
CENPW
UBE2C
DLGAP5
CD244
LAYN
PIK3AP1
UHRF1
DTL
CDT1
CDKN3
TOP2A
GNLY
HIST1H1B
BIRC5
CCL3L1
NCAPG
C16orf45
KLRC1
CD63
CD38
PRR11
KLRC4
STMN1
APOBEC3B
MCM2
ATP8B4
GNG4
ASPM
TPX2
HJURP
PON3
SLAMF7
CLSPN
CDCA5
GGH
ESCO2
FAM111B
RAD51
KIF4A
CDC45
CKAP2L
CCR1
MYBL2
FCGR3A
GCNT1
PLCG2
KIF15
SPC24
GABARAPL1
TK1
GNGT2
STYK1
PBK
SPC25
IRF8
NUF2
KRT86
SHCBP1
ASF1B
GINS2
AURKB
MCM4
ORC6
MND1
EXO1
LIMK1
NHS
MELK
LILRP2
GZMA
CDC6
BUB1
PKMYT1
RAD51AP1
ABI3
KIF2C
UBE2T
TTC24
HMOX1
CCNB2
CLNK
CDCA3
POLQ
REEP2
FXYD2
CDCA2
DRAXIN
DEPDC1B
CENPA
TRIP13
