Gene
TANC2
IL10RA
HDAC9
DENND4A
TNFRSF9
DPY19L3
HK2
PSEN2
NCKAP1
ACADSB
HOPX
AXL
RAB8B
MATN2
TM7SF3
GATA1
GBP2
IRF4
TNFRSF18
NCF4
BCL2L1
TSC22D2
CD83
SAMSN1
ZNF467
ITGAE
WLS
F2R
TRIM14
PTGER4
NIBAN3
SESN1
GEM
TRIM59
RXRA
LCLAT1
ZBED5
SNX13
FGL2
ABCB1
NRP1
SHKBP1
SLC35D1
CISH
SOCS2
SEPTIN8
TTC8
C9orf152
BLCAP
UBE2B
MGAT5
TBC1D4
NDRG1
GABARAPL1
RRAGD
GBP4
PIAS3
DGAT2
NFIL3
AHNAK
LMLN
GLRX
NFKBIE
MAPKAPK3
PPM1L
LPXN
ZC3H12D
SLC9B2
TMEM65
MTMR3
C3orf70
AHR
PHLPP1
SERINC3
SHE
KCNK6
ITM2C
CCR6
PLCB4
CCR8
TWSG1
IFT80
FBXO32
DENND5A
DMD
POGLUT2
USP27X
HNRNPLL
ARHGAP21
BANK1
SH3BGRL2
VAV2
TMEM64
FOXP3
CYP4V2
ZCCHC18
JCAD
SMAP1
DPP4
NIBAN1
MDFIC
GPR15
SLC4A7
ADAP1
STON1
HDAC6
FNTA
KLF6
BMP2K
PRICKLE1
CORO2A
NT5E
MAP3K8
ANXA4
SH3BGRL
TMEM158
SH3BP2
DUSP4
PIK3R3
CEP290
RNF135
IRF8
PHTF2
CASP4
CNRIP1
CASP7
CCRL2
AGR3
NFKBIZ
E2F3
ST3GAL2
AHCYL2
VPS54
INPP5F
ATP9A
PHETA2
CDCP1
CXCL1
CXCL3
DNAH7
RGS1
NCMAP
SLC2A3
STARD5
PRKRA
TDRD7
ERGIC1
TGFBR1
KIFAP3
MTMR7
IGF1R
TNFSF11
TRIM67
LMAN1
SLC12A2
LRIG1
FRMD6
PLPP1
ZDHHC23
ABCA5
ADAMTS6
ABI2
PLXNC1
TK1
CD86
CCNE2
OSBPL3
GPR68
SOCS5
ASNS
CD38
SLC22A5
ENTPD1
CNKSR3
SNX18
CNDP2
CD274
H2AZ1
WDR82
CD81
RORA
ST6GALNAC4
ELK3
CTLA4
ZC3H12C
PEAK1
TNFRSF1B
UBASH3B
KIF13A
SDCBP2
IL2RA
SNORD89
IL2RB
ATP2A2
KLRG1
WIPI2
SOAT1
DGAT1
PROS1
CDK6
