OPTN
CDKN1A
CDKN1C
CDKN2A
CDKN2B
CDKN2D
CITED2
HTATIP2
HBS1L
RAB31
ESM1
HPS5
FILIP1L
CLTB
COL1A2
CRYAB
CCN2
CYP1B1
F3
ALDH1A3
FN1
TES
GSN
GUK1
NRG1
HSPA2
IGSF3
IFI16
IFNG
IGFBP1
IGFBP2
IGFBP3
IGFBP4
IGFBP5
IGFBP6
IGFBP7
ING1
IRF5
IRF7
RHOB
MDM2
MMP1
NDN
NME2
SERPINE1
SERPINB2
MAP2K3
RGL2
RAB5B
RAB13
RABGGTA
RAC1
RBL2
CCND1
RRAS
S100A11
SMURF2
SMPD1
SOD1
SPARC
STAT1
TFAP2A
TGFB1I1
THBS1
TNFAIP2
TNFAIP3
TP53
VIM
MAP1LC3B
AOPEP
TSPYL5
PEA15
CREG1
EIF2S2
CXCL14
CD44
ISG15
