Gene
HYAL4
A2M
LGALS9C
IL34
PCSK5
TPO
EPO
GDF5
ADAMTS19
HGF
CLEC18A
HGFAC
SERPINA3
NRG1
SERPINE3
MUC21
SFTA3
EREG
CRLF1
REG4
FSTL3
PDGFA
PDGFB
CLEC5A
CTSC
SERPINF1
MBL2
ANXA8L1
GDF6
S100A14
CD109
CLEC1B
CLEC1A
CLEC7A
REG3G
MMP21
PF4
PF4V1
HPSE2
ADAM11
WNT4
CLEC4M
IL17D
ISM2
MDK
MMP20
F2
ADAM8
PLXNB2
ADAM10
CCL26
IL17F
ELFN2
F7
PGF
F9
F10
F12
F13A1
CD209
F13B
TGM5
TNFSF4
PIK3IP1
S100A1
MEP1A
MEP1B
S100A2
S100A3
SEMA3A
S100A4
S100A5
WNT5B
S100A6
S100A7
OPRPN
S100A8
S100A9
S100A10
COLEC12
S100A11
S100A12
COLEC11
S100A13
S100B
S100P
SERPINA1
PI3
SERPINA4
SERPINB5
SERPINB6
SERPINE2
SERPINB8
SERPINB9
SERPINB10
CLC
SERPINI1
SERPINB13
SERPINI2
SFTPA2
CCL28
SEMA6D
KITLG
CLEC2L
SEMA5B
MUC17
FCN1
FCN2
SERPINB3
SERPINB4
CLEC11A
ANGPT4
CRLF3
HYAL3
AGT
WNT16
A2ML1
CXCL9
GPC4
HPX
FGF1
ADAMTS20
FGF2
FGF3
HRG
FGF4
LOXL4
CCL1
FGF5
CCL2
FGF6
SFTPA1
CCL3
FGF7
GRIFIN
FGF8
FGF9
PLAT
CCL4
FGF10
C1QTNF1
PLAU
CCL5
FGF11
FGF12
C1QTNF3
CCL7
FGF13
C1QTNF2
CCL8
FGF14
SEMA6A
CCL11
C1QTNF4
CCL13
GPC5
CCL14
C1QTNF5
CCL15
C1QTNF7
MMP1
CCL16
C1QTNF6
MMP2
BMP8A
CCL17
MMP3
CCL18
CCL19
HCFC2
MMP7
PLG
CCL20
MMP8
CLEC10A
MMP9
CCL21
CLEC19A
MMP10
CCL22
ANXA9
ITIH6
MMP11
CCL23
MMP12
SERPINF2
CCL24
MMP13
CCL25
MMP14
MMP26
MMP15
CXCL6
FST
MMP16
CXCL11
VEGFD
MMP17
CXCL5
MMP19
PLOD1
XCL1
PLOD2
CX3CL1
ADAMTSL4
SDC1
SDC2
PLXNA1
SDC4
PLXNA2
CXCL12
PLXNB1
PLXNB3
CNTF
PARM1
MUC20
IL19
VEGFA
VEGFB
VEGFC
AMBP
SEMA6C
PAPPA2
SEMA3F
SEMA6B
SFTA2
PLXNA3
FLG
SEMA4F
SEMA4D
AMH
SEMA4B
SEMA3C
FLT3LG
SFRP1
SFRP2
SFRP4
SFRP5
ANGPT1
CHRDL2
ANGPT2
SEMA7A
S100A16
ADAMTS4
PAMR1
ADAMTS3
ADAMTS2
ADAMTS1
IL25
SFTPB
SFTPC
P3H3
SFTPD
MUC15
PRSS12
ANXA1
HYAL1
MMP28
ANXA2
GDF15
WNT1
ITLN1
WNT2
WNT3
ANXA3
WNT5A
ANXA4
WNT6
ANXA5
WNT7A
ANXA6
WNT7B
ANXA7
WNT8A
ANXA11
EGLN1
WNT8B
ANXA13
WNT10B
WNT11
WNT2B
WNT9A
WNT9B
MMP23B
CXCL13
SHH
NRG2
CLEC18C
CXCL14
LGALS12
CST7
COLEC10
CCL4L2
ITLN2
CPN2
MUC13
ADAM32
HTRA4
EPGN
PPBP
FCN3
SERPINA2
CTSA
FASLG
GDF3
CCL3L3
IL23A
IFNA1
ADAM22
IFNA2
CRHBP
IFNA4
IFNA5
SEMA4G
IFNA6
IFNA7
IFNA8
C17orf58
AREG
IFNA10
EGFL6
