CHL1
GPD2
TCEA2
PDCD1
MYH4
TNFRSF9
KLK6
TANK
TRIM25
GPR65
CD244
SEPTIN4
LAT2
SPP1
CXCL10
ETF1
LAG3
CAPZB
NR4A2
RCN1
IRF8
CASP3
CASP4
PON2
ADGRG1
CCRL2
IER5
SPOCK2
CPA3
ISG20
SH2D2A
CPT2
FASLG
PTGER2
WNK1
GDF3
ITGAV
PTGER4
CIT
TUBB2A
RNF11
RGS16
CD160
PLIN2
NDFIP1
SHKBP1
MEOX2
EOMES
JAK3
CRYGB
S100A13
TUBB4B
PTPN13
COCH
CD7
CD9
ART3
ISG15
NPTXR
ENTPD1
BUB1
ZFP91
VAMP7
MKI67
DOCK7
CCL3
CCL4
LMAN2
ATF1
PAWR
CTLA4
TNFRSF1A
CPSF2
TOR3A
PBX3
TRIM47
SNRPB2
PLSCR1
TCEAL9
CA2
CD200
1110006I15Rik
Tcrb-V13
Gcin
LILRB4
MDFIC
EEA1
PENK1
TRGV4
LGALSL
SERPINA3
MDA5
RBM39
NFATC1
UBE2T
TCTA
TTC39B
C20orf52
SLIRP
VPS37A
ALCAT1
TBC1D22A
GDPD5
TMEM109
TRBV11-3
TRBV11-1
C10orf58
