"x"
"CCL5"
"CST7"
"NKG7"
"KLRD1"
"GNLY"
"HLA-DPB1"
"GZMB"
"LYAR"
"GZMH"
"PRF1"
"HLA-DPA1"
"HOPX"
"ZEB2"
"ANXA1"
"S100A4"
"ITGB1"
"FLNA"
"C12orf75"
"CLIC1"
"ZNF683"
"PLEK"
"FAM118A"
"AHNAK"
"CD99"
"SYNE2"
"CRIP1"
"GAPDH"
"CYBA"
"IL32"
"S100A6"
"SH3BGRL3"
"HLA-B"
"B2M"
"LGALS1"
"CCL4"
"KLF6"
"ANXA2"
"MYO1F"
"TRGC2"
"IRF1"
"HLA-A"
"HLA-DRB1"
"KLRC4"
"EFHD2"
"PPP2R5C"
"C1orf21"
"PTPN22"
"FGFBP2"
"CAST"
"STOM"
"CD8A"
"PYHIN1"
"CD63"
"GBP5"
"S100A11"
"ANXA5"
"CD52"
"OASL"
"SRGN"
"LCP1"
"PLAAT4"
"APOBEC3G"
"NIBAN1"
"PATL2"
"CX3CR1"
"XIST"
"F2R"
"RUNX3"
"HMGB1"
"COTL1"
"IQGAP1"
"PTPRC"
"EZR"
"CD81"
"RNF213"
"PSMB9"
"MBP"
"TNFAIP3"
"TNFRSF1B"
"PFN1"
"CTSC"
"IFITM2"
"ARPC2"
"AOAH"
"OAZ1"
"ID2"
"ARL4C"
"MYL6"
"ACTN4"
"ATP2B4"
"CYTOR"
"CAPN2"
"TGFBR3"
"CLIC3"
"CD2"
"SYNE1"
"C5orf56"
"OPTN"
"SH2D2A"
"FKBP5"
"CD3G"
"MXRA7"
"YWHAQ"
"GPR171"
"ITGAL"
"PSME1"
"MIAT"
"CD226"
"GAB3"
"MYL12B"
"SEPTIN7"
"SLAMF7"
"GZMA"
"CD74"
"EMP3"
"CFLAR"
"ARAP2"
"DSTN"
"RAB27A"
"UBC"
"AKAP13"
"DUSP2"
"CHST12"
"IL2RB"
"ZBTB38"
"TXN"
"LRRFIP1"
"CFL1"
"NDUFB7"
"ARID5B"
