"x"
"HDGFL3"
"CST7"
"GNLY"
"CCL5"
"KLRD1"
"LAG3"
"PRF1"
"IFNG"
"HLA-DPB1"
"ZEB2"
"S100A6"
"HLA-B"
"GZMH"
"NKG7"
"S100A11"
"PTMS"
"HLA-DPA1"
"S100A4"
"GZMB"
"NEAT1"
"HOPX"
"PRDM1"
"TIGIT"
"SLAMF7"
"ANXA2"
"AHNAK"
"OPTN"
"CD226"
"STOM"
"IQGAP1"
"LGALS1"
"GPR171"
"BIRC3"
"NIBAN1"
"KLF6"
"CTSC"
"MBP"
"ARID5B"
"FLNA"
"AKAP13"
"LINC01871"
"IGF2R"
"GPRIN3"
"LYST"
"VIM"
"SAMSN1"
"ARL6IP5"
"CCL3"
"MIAT"
"CRIP1"
"CD52"
"RNF213"
"CLIC1"
"ITGA4"
"PTPN22"
"ACTN4"
"CCL4"
"RUNX3"
"RNF19A"
"ITGB1"
"ITGAL"
"ANXA1"
"RORA"
"IL32"
"CYBA"
"IL2RG"
"TNFRSF1B"
"MSN"
"MYL6"
"TNIP3"
"CD99"
"IL2RB"
"APOBEC3C"
"APOBEC3G"
"SPOCK2"
"ARL4C"
"LINC01943"
"S100A10"
"MYO1G"
"TANK"
"RILPL2"
"IQGAP2"
"SH2D2A"
"IDS"
"FYN"
"CD2"
"ANXA6"
"IGFLR1"
"SMAP2"
"FLOT1"
"SYNE2"
"GNG2"
"TNFRSF18"
"EPS15"
"GNPTAB"
"EMP3"
"MCL1"
"LSP1"
"MDFIC"
"RECQL"
"PRKCB"
"ADGRE5"
"NR3C1"
"CAST"
"PLP2"
"TLN1"
"AL627171.2"
"MAF"
"BHLHE40"
"RAB27A"
"CYTOR"
"PAG1"
"TPM4"
"SLA"
"C21orf91"
"ATP2B4"
"SH2D1A"
"RPS6KA3"
"FMNL1"
"SYTL3"
"IVNS1ABP"
"GPR174"
"MFSD10"
"ARF6"
"NDUFA3"
"EID1"
"COTL1"
"ZFP36L2"
"BCL3"
"EMB"
"LITAF"
"PET100"
"IFI27L2"
"ZC3H12D"
"CAP1"
"EZR"
"TMCO1"
"TNFRSF9"
"GOLGB1"
"RAP1B"
"DSTN"
"ARHGAP30"
"PPP2R5C"
"ODF2L"
"PREX1"
"LINC00623"
"OTULIN"
"RAPGEF1"
"MVP"
"HCP5"
"PTPN7"
"IKZF3"
"PTP4A2"
"RTN4"
"KIF21A"
"TPST2"
"VASP"
"BTN3A2"
"CBLB"
"PDIA6"
"TAX1BP1"
"ASXL2"
"CMTM6"
"DIAPH1"
"CELF2"
"SRGN"
"AC245297.3"
"SMARCA2"
"PAIP2"
"DYNC1I2"
"THEMIS"
"FAM3C"
"BIN2"
"TNIP2"
"MIDN"
"SPN"
"CNOT6L"
"AKNA"
"RAB29"
"FKBP5"
"FAM89B"
"GPSM3"
"PRKCH"
"INPP4B"
"APBB1IP"
"RBPJ"
"SH3KBP1"
"EFHD2"
"CDKN1B"
"MAP4"
"CDK2AP2"
"WIPF1"
"SH3GLB1"
"ITGB2"
"PRKACB"
"SPATA13"
"TRADD"
"MGST3"
"CKLF"
"DHRS7"
"TRIM38"
"TNFAIP3"
"HEBP2"
"RASAL3"
"CDC42SE1"
"KMT2A"
"TES"
"CLIP1"
"OSTF1"
"UPP1"
"ARAP2"
"CCDC107"
"LBR"
"RNF149"
"SLC1A5"
"LMO4"
"CWF19L2"
"DUSP5"
"KIAA2026"
"TAOK3"
"CLDND1"
"TUT7"
"ETV6"
"NMT1"
"ACAP1"
"STAT5B"
"PIK3R1"
"LINC02446"
"NCKAP1L"
"LRP10"
"STK10"
"IL7R"
"DDIT4"
"CD96"
"SPTY2D1"
"CCNDBP1"
"COMMD3"
"SERINC1"
"UBE2A"
"CD74"
"XIST"
"CAPNS1"
"LBH"
"OGA"
"ST8SIA4"
"ATF7IP"
"WAS"
"PTGER4"
"TNIP1"
"SLC39A10"
"MECP2"
"ARF5"
"EP300"
"APMAP"
"UBR2"
"YWHAH"
"ARRB2"
"TUBA1A"
"NAMPT"
"TFRC"
"PNPLA8"
"CCDC82"
"PPP1R15A"
"SFT2D2"
"PIK3CD"
"ZC3H7A"
"CSGALNACT2"
"MDM2"
"RRBP1"
"EED"
"ARHGEF1"
"ZBTB1"
"PHIP"
"TMED5"
"FBXW11"
"STK24"
"CCDC167"
