"x"
"CCL5"
"CST7"
"GNLY"
"KLRD1"
"HLA-DPB1"
"NKG7"
"PRF1"
"S100A4"
"GZMH"
"GZMB"
"HLA-DPA1"
"AHNAK"
"ZEB2"
"S100A11"
"HOPX"
"ANXA1"
"FLNA"
"ANXA2"
"ITGB1"
"LGALS1"
"PLEK"
"CRIP1"
"KLRC4"
"OPTN"
"KLF6"
"IQGAP1"
"PTPN22"
"CLIC1"
"TRGC2"
"STOM"
"C12orf75"
"PYHIN1"
"NIBAN1"
"CTSC"
"ITGAL"
"MBP"
"FGFBP2"
"APOBEC3G"
"CD99"
"CCL4"
"HLA-DRB1"
"HDGFL3"
"FAM118A"
"MIAT"
"CD226"
"MYO1F"
"F2R"
"PTMS"
"ACTN4"
"SYNE1"
"LAG3"
"SLAMF7"
"CAPN2"
"AOAH"
"ANXA5"
"PRDM1"
"AKAP13"
"ARL4C"
"CAST"
"PPP2R5C"
"SYNE2"
"CD52"
"S100A6"
"CYBA"
"RNF213"
"NEAT1"
"SH3BGRL3"
"HLA-B"
"RORA"
"TNFRSF1B"
"GPR171"
"TIGIT"
"EMP3"
"IDS"
"CD3G"
"LSP1"
"ATP2B4"
"IL32"
"CD8A"
"EFHD2"
"LYAR"
"GABARAPL1"
"MSN"
"IQGAP2"
"ZFP36L2"
"LINC01871"
"MYL6"
"ARL6IP5"
"PRKCB"
"S100A10"
"APOBEC3C"
"COTL1"
"TRG-AS1"
"CD2"
"XIST"
"RUNX3"
"IGF2R"
"FKBP5"
"LITAF"
"SH2D2A"
"EZR"
"ITGA4"
"IL2RB"
"TNFAIP3"
"FYN"
"DSTN"
"ANXA6"
"EPS15"
"PLP2"
"MYO1G"
"SPN"
"FMNL1"
"ARID5B"
"VIM"
"SAMD3"
"EMB"
"RNF19A"
"IL2RG"
"BTN3A2"
"ZBTB38"
"TRBC2"
"GLIPR1"
"RAB27A"
"ODF2L"
"TLN1"
"STK38"
"WIPF1"
"GPRIN3"
"YPEL3"
"PARP8"
"NR3C1"
"RECQL"
"EID1"
"RABGAP1L"
"GNG2"
"BIRC3"
"AKNA"
"PTP4A2"
"SPOCK2"
"CDC42EP3"
"PLAAT4"
"SAMSN1"
"SELPLG"
"C5orf56"
"BIN2"
"LYST"
"MFSD10"
"TSC22D3"
"RESF1"
"CYTOR"
"RILPL2"
"RAPGEF1"
"PREX1"
"AL627171.2"
"SLC9A3R1"
"PTPN4"
"GNPTAB"
"IL10RA"
"MGST3"
"ARAP2"
"TPST2"
"CD63"
"TMX4"
"P2RY8"
"TANK"
"TC2N"
"LIME1"
"CD81"
"DIAPH1"
"SUN2"
"CARD19"
"RAP2B"
"SYTL3"
"IFI27L2"
"LINC00623"
"RAB29"
"BTN3A1"
"BLOC1S1"
"ITGB2"
"KLF2"
"ADD3"
"MIDN"
"ADGRE5"
"CKLF"
"CDKN1B"
"HIST1H1E"
"PLEC"
"SLA"
"TES"
"RAP1B"
"ZBTB7A"
"RALGDS"
"SH3KBP1"
"MYH9"
"DNAJC1"
"LINC01943"
"ARHGAP30"
"APMAP"
"SH2D1A"
"AC245297.3"
"TOB1"
"IFITM2"
"SPATA13"
"APBB1IP"
"SKIL"
"PPP1R12A"
"CDC42SE1"
"RPS6KA3"
"ARF6"
"GPR174"
"ATF7IP"
"PIK3R1"
"KMT2A"
"FAM89B"
"RNF149"
"C21orf91"
"GOLGB1"
"PRKCH"
"MCL1"
"CD74"
"UBR2"
"BHLHE40"
"MAP4"
"CCDC107"
"OSBPL8"
"IKZF3"
"CELF2"
"CNOT6L"
"CAP1"
"ACAP1"
"MAP1LC3B"
"RASAL3"
"CCDC88C"
"HIST2H2AC"
"CBLB"
"HCP5"
"DHRS7"
"SH3GLB1"
"STK10"
"MECP2"
"SRPK2"
"UTRN"
"CCNDBP1"
"NAA38"
"FLOT1"
"PTPN7"
"CTDSP1"
"TRIM38"
"KIAA2026"
"HIST1H1C"
"MDFIC"
"TBC1D10C"
"RNPEPL1"
"NFATC2"
"PRKAR1A"
"IRF3"
"TAOK3"
"TRADD"
"CLIP1"
"THEMIS"
"NCKAP1L"
"DCTN3"
"ERBIN"
"TUT7"
"BCL9L"
"CDKN2D"
"GRK2"
"SH3BGRL"
"C1orf56"
"ASXL2"
"OSTF1"
"CARD16"
"SMARCA2"
"RTN4"
"YWHAH"
"UBE2A"
"ARHGEF1"
"MAPK1"
"SAMD9"
"TSPAN14"
"ARRB2"
"ARHGEF3"
"EP300"
"TPP1"
"NLRC5"
"SPTAN1"
"YPEL5"
"AC008875.3"
"ARHGAP25"
"TPM4"
"LRP10"
"OFD1"
"ADAM10"
"VASP"
"ADD1"
"SCP2"
"XPC"
"OGA"
"UPP1"
"CDK13"
"STAT5B"
"MIS18BP1"
"CAPNS1"
"HEBP2"
"TSC22D4"
"IGFLR1"
"ZBTB1"
"OTULIN"
"SERINC1"
"NUB1"
"SHISA5"
"WAS"
"RAB1B"
"BAZ2A"
"PAG1"
"SLC4A7"
"SPAG9"
"COMMD3"
"SIGIRR"
"LINC02446"
"SFT2D2"
"TMED5"
"CMTM6"
"UCP2"
"ZBTB20"
"SAMD9L"
"HERC1"
"LMO4"
"VEZF1"
"PTGER4"
"SPTY2D1"
"IVNS1ABP"
