"","x"
"APBB2",0.047596214
"ATF3",0.047415965
"CARMIL3",0.048992511
"CCDC6",0.048242895
"ELL2",0.04433835
"IFNG",0.048572985
"ING3",0.044753043
"PMCH",0.046070542
"PTPN3",0.045976405
"RDH10",0.045784121
"RNF19B",0.044789075
"RRAD",0.0449292
"SHF",0.047208152
"TIE1",0.045677028
"UBXN10",0.046403689
"BMF",0.045288492
"DMD",0.048813942
"GNAI1",0.045948486
"GNLY",0.047299327
"IGLON5",0.045876638
"IQCJ.SCHIP1",0.047382508
"ITPRIPL2",0.044616236
"MAP1LC3A",0.047213086
"NCALD",0.048560574
"PDLIM4",0.048230815
"PLS3",0.04799314
"POU2AF1",0.046466344
"PPARG",0.044314144
"PTGS2",0.047023497
"SGPP2",0.048021847
"SHC4",0.046030051
"SNAP25",0.047105144
"TNIP3",0.042535458
"TP63",0.047488184
"ZC3H12C",0.043750239
"ATP9A",0.048170659
"CCL22",0.046966988
"HMSD",0.046209965
"LMNA",0.045573211
"MICALCL",0.045300228
"MYH6",0.047636686
"ZNF282",0.047945079
"BTNL8",0.046229718
"COL9A2",0.045443332
"DUSP5",0.044151892
"EPAS1",0.046238231
"MTSS1",0.044691045
"RGCC",0.046966014
"TIAM2",0.048244224
"TNFRSF4",0.042126496
"WLS",0.046470861
"ZC3H12D",0.046016181
"AHI1",0.047807425
"BARX2",0.046412272
"CLECL1",0.045358779
"DOK5",0.046636512
"GEM",0.044099287
"IL26",0.044251047
"RCAN1",0.049390529
"SLC41A2",0.047288334
"SNX33",0.045344016
"TNS3",0.045282082
"ADGRD1",0.045907218
"ADGRG1",0.048044864
"ARNT2",0.043219993
"CAVIN3",0.044451757
"CRTAM",0.045111847
"CTTN",0.044555018
"CXCL10",0.046750106
"G0S2",0.04295746
"GDF10",0.045748274
"H1F0",0.044555855
"HMOX1",0.046194041
"KIR2DL4",0.043822575
"KLRC1",0.045738259
"KRT79",0.044323474
"MAGI1",0.045218401
"MT2A",0.046592001
"PTGS1",0.046722112
"TNFRSF18",0.044276502
"TPRG1",0.045352631
"UBE2QL1",0.045990687
"ZNF438",0.046752823
"ZNF704",0.045706672
