"","x"
"311","BBS12"
"312","BCAN"
"313","BCAR1"
"314","BCAT1"
"315","BCL11B"
"316","BCL2A1"
"317","BCL2L1"
"318","BCL2L11"
"319","BCL2L2"
"320","BCL6B"
"321","BCL7A"
"322","BCL9"
"323","BCLAF1"
"324","BCO2"
"325","BCOR"
"326","BCORL1"
"327","BEAN1"
"328","BEND3"
"329","BEND5"
"330","BEX2"
"331","BEX3"
"332","BFSP1"
"333","BHLHE22"
"334","BICDL2"
"335","BID"
"336","BIN1"
"337","BIN2"
"338","BIRC3"
"339","BIRC7"
"340","BLVRB"
"341","BMF"
"342","BMT2"
"343","BNIP3"
"344","BNIP3L"
"345","BOLA1"
"346","BOP1"
"347","BORCS8"
"348","BRD3"
"349","BRD9"
"350","BRSK1"
"351","BSPRY"
"352","BTBD19"
"353","BTBD3"
"354","BTG2"
"355","BTLA"
"356","BTN3A1"
"357","BTN3A2"
"358","BTN3A3"
"359","BTNL8"
"360","BVES"
"361","BYSL"
"362","C10orf128"
"363","C10orf67"
"364","C10orf99"
"365","C11orf21"
"366","C11orf74"
"367","C11orf95"
"368","C11orf96"
"369","C14orf79"
"370","C15orf48"
"371","C15orf53"
"372","C16orf45"
"373","C16orf54"
"374","C16orf86"
"375","C16orf91"
"376","C16orf92"
"377","C17orf51"
"378","C17orf78"
"379","C18orf54"
"380","C19orf38"
"381","C19orf44"
"382","C19orf81"
"383","C1orf109"
"384","C1orf146"
"385","C1orf162"
"386","C1orf194"
"387","C1orf198"
"388","C1orf21"
"389","C1orf53"
"390","C1QTNF12"
"391","C1QTNF3"
"392","C1QTNF6"
"393","C1S"
"394","C2"
"395","C20orf204"
"396","C20orf96"
"397","C21orf58"
"398","C21orf62"
"399","C22orf23"
"400","C2CD2"
"401","C2CD4D"
"402","C2orf15"
"403","C2orf16"
"404","C2orf66"
"405","C2orf72"
"406","C2orf81"
"407","C3"
"408","C3orf14"
"409","C3orf33"
"410","C3orf58"
"411","C3orf80"
"412","C4BPB"
"413","C4orf26"
"414","C4orf47"
"415","C4orf50"
"416","C5"
"417","C5orf34"
"418","C5orf58"
"419","C6orf223"
"420","C6orf52"
"421","C7orf31"
"422","C7orf61"
"423","C8G"
"424","C9orf131"
"425","C9orf135"
"426","C9orf172"
"427","C9orf72"
"428","C9orf84"
"429","CA12"
"430","CA6"
"431","CA7"
"432","CABLES1"
"433","CACNA1D"
"434","CACNA1F"
"435","CACNA1H"
"436","CACNA1I"
"437","CACNA2D2"
"438","CACNB3"
"439","CALCOCO1"
"440","CALD1"
"441","CALHM1"
"442","CALHM2"
"443","CALHM3"
"444","CALM1"
"445","CAMK1"
"446","CAMK2B"
"447","CAMK2N2"
"448","CAMSAP3"
"449","CAPN2"
"450","CAPN3"
"451","CAPN8"
"452","CAPS2"
"453","CARD10"
"454","CARD16"
"455","CARD17"
"456","CARF"
"457","CARMIL1"
"458","CARMIL3"
"459","CARNS1"
"460","CASKIN1"
"461","CASP1"
"462","CASP4"
"463","CASQ1"
"464","CASS4"
"465","CASTOR1"
"466","CATSPER1"
"467","CATSPERZ"
"468","CAVIN1"
"469","CAVIN3"
"470","CBARP"
"471","CBFA2T2"
"472","CBS"
"473","CBWD2"
"474","CBX2"
"475","CBX7"
"476","CBX8"
"477","CBY1"
"478","CC2D2A"
"479","CCDC102A"
"480","CCDC106"
"481","CCDC114"
"482","CCDC116"
"483","CCDC121"
"484","CCDC126"
"485","CCDC146"
"486","CCDC15"
"487","CCDC160"
"488","CCDC173"
"489","CCDC184"
"490","CCDC188"
"491","CCDC3"
"492","CCDC6"
"493","CCDC65"
"494","CCDC69"
"495","CCDC7"
"496","CCDC85C"
"497","CCDC86"
"498","CCER2"
"499","CCL1"
"500","CCL18"
"501","CCL22"
"502","CCL3"
"503","CCL3L3"
"504","CCL4"
"505","CCL4L2"
"506","CCNA1"
"507","CCNG1"
"508","CCNG2"
"509","CCNI2"
"510","CCNJ"
"511","CCNJL"
"512","CCR1"
"513","CCR2"
"514","CCR3"
"515","CCR4"
"516","CCR5"
"517","CCR7"
"518","CCR8"
"519","CCRL2"
"520","CD109"
"521","CD160"
"522","CD19"
"523","CD200"
"524","CD207"
"525","CD22"
"526","CD226"
"527","CD248"
"528","CD27"
"529","CD276"
"530","CD300C"
"531","CD300LB"
"532","CD33"
"533","CD36"
"534","CD38"
"535","CD3EAP"
"536","CD4"
"537","CD40"
"538","CD40LG"
"539","CD44"
"540","CD52"
"541","CD68"
"542","CD69"
"543","CD70"
"544","CD72"
"545","CD79A"
"546","CD80"
"547","CD82"
"548","CD83"
"549","CD8B"
"550","CD93"
"551","CDC14A"
"552","CDC14B"
"553","CDC25B"
"554","CDC25C"
"555","CDC42BPA"
"556","CDC42BPB"
"557","CDC42BPG"
"558","CDC42EP1"
"559","CDC42EP2"
"560","CDC42EP3"
"561","CDCP1"
"562","CDH23"
"563","CDH26"
"564","CDH3"
"565","CDHR1"
"566","CDHR2"
"567","CDK14"
"568","CDK17"
"569","CDK5R1"
"570","CDK6"
"571","CDKL3"
"572","CDKN1A"
"573","CDKN2A"
"574","CDKN2B"
"575","CDKN2C"
"576","CDO1"
"577","CDRT15"
"578","CDRT4"
"579","CDYL2"
"580","CEACAM1"
"581","CEACAM21"
"582","CEBPA"
"583","CEBPB"
"584","CEBPD"
"585","CEBPE"
"586","CEL"
"587","CELSR2"
"588","CENPS"
"589","CENPS-CORT"
"590","CEP19"
"591","CEP44"
"592","CEP68"
"593","CEP70"
"594","CERCAM"
"595","CERKL"
"596","CETP"
"597","CFAP157"
"598","CFAP161"
"599","CFAP44"
"600","CFH"
"601","CFLAR"
"602","CFP"
"603","CGN"
"604","CHAC1"
"605","CHAD"
"606","CHDH"
"607","CHEK2"
"608","CHI3L2"
"609","CHKA"
"610","CHMP3"
"611","CHMP4C"
"612","CHRNA10"
"613","CHRNA6"
"614","CHRNB1"
"615","CHRND"
"616","CHST1"
"617","CHST10"
"618","CHST2"
"619","CHST7"
"620","CHURC1"
"621","CIART"
"622","CILP2"
"623","CISD3"
"624","CISH"
"625","CITED4"
"626","CKAP4"
"627","CKB"
"628","CKM"
"629","CLCN5"
"630","CLDN1"
"631","CLDN12"
"632","CLDN7"
"633","CLDN9"
"634","CLDND2"
"635","CLEC1B"
"636","CLEC3B"
"637","CLEC4F"
"638","CLECL1"
"639","CLHC1"
"640","CLIC3"
"641","CLIC4"
"642","CLIC5"
"643","CLK3"
"644","CLUH"
"645","CLVS1"
"646","CMTM8"
"647","CMTR2"
"648","CNN2"
"649","CNN3"
"650","COA7"
"651","COCH"
"652","COL16A1"
"653","COL17A1"
"654","COL1A1"
"655","COL27A1"
"656","COL5A1"
"657","COL5A2"
"658","COL6A1"
"659","COL6A2"
"660","COL6A3"
"661","COL6A5"
"662","COL7A1"
"663","COL8A2"
"664","COL9A2"
"665","COLCA2"
"666","COLQ"
"667","COMTD1"
"668","COPG2"
"669","COPRS"
"670","CORO2A"
"671","CORO6"
"672","COX6B2"
"673","COX7A1"
"674","CPLX1"
"675","CPM"
"676","CPNE2"
"677","CPNE5"
"678","CPNE6"
"679","CPNE8"
"680","CPXM1"
"681","CREB3L3"
"682","CREBRF"
"683","CRELD1"
"684","CREM"
"685","CRIM1"
"686","CRTAM"
"687","CRYAB"
"688","CRYBG2"
"689","CRYBG3"
"690","CRYGS"
"691","CSF1"
"692","CSF2"
"693","CSF2RA"
"694","CSF2RB"
"695","CSNK1D"
"696","CSNK1G3"
"697","CSPG4"
"698","CSRNP1"
"699","CSRP2"
"700","CSRP3"
"701","CST6"
"702","CTAGE6"
"703","CTDP1"
"704","CTDSP1"
"705","CTH"
"706","CTHRC1"
"707","CTLA4"
"708","CTNNA1"
"709","CTNND1"
"710","CTPS1"
"711","CTSB"
"712","CTSH"
"713","CTSO"
"714","CTSV"
"715","CTTN"
"716","CTTNBP2NL"
"717","CTU2"
"718","CX3CR1"
"719","CXCL10"
"720","CXCL13"
"721","CXCL16"
"722","CXCL17"
"723","CXCR1"
"724","CXCR3"
"725","CXCR5"
"726","CXCR6"
"727","CYBRD1"
"728","CYFIP1"
"729","CYP11A1"
"730","CYP11B1"
"731","CYP19A1"
"732","CYP1B1"
"733","CYP20A1"
"734","CYP27A1"
"735","CYP27B1"
"736","CYP2J2"
"737","CYP2S1"
"738","CYP2U1"
"739","CYP3A4"
"740","CYP3A7-CYP3A51P"
"741","CYP4V2"
"742","CYP51A1"
"743","CYP7B1"
"744","CYS1"
"745","CYSTM1"
"746","CYTIP"
"747","DACT3"
"748","DAPK1"
"749","DAPK2"
"750","DBNDD2"
"751","DBP"
"752","DCAF13"
"753","DCAF4"
"754","DCTPP1"
"755","DCUN1D4"
"756","DDAH2"
"757","DDIT3"
"758","DDIT4"
"759","DDIT4L"
"760","DDR1"
"761","DDR2"
"762","DDX21"
"763","DDX31"
"764","DDX4"
"765","DDX5"
"766","DDX56"
"767","DEDD2"
"768","DENND3"
"769","DENND4A"
"770","DENND5A"
"771","DENND6B"
"772","DEPDC7"
"773","DERL3"
"774","DET1"
"775","DFNA5"
"776","DFNB59"
"777","DGCR6L"
"778","DGKA"
"779","DGKI"
"780","DHCR24"
"781","DHCR7"
"782","DHDH"
"783","DHRS2"
"784","DHRS3"
"785","DHRS7B"
"786","DHRS9"
"787","DHX33"
"788","DHX35"
"789","DHX37"
"790","DIEXF"
"791","DISP1"
"792","DIXDC1"
"793","DKC1"
"794","DLEC1"
"795","DLG4"
"796","DLL1"
"797","DLL3"
"798","DMD"
"799","DMXL2"
"800","DNAAF4"
"801","DNAH7"
"802","DNAJB13"
"803","DNAJB4"
"804","DNAJB9"
"805","DNAJC12"
"806","DNAJC28"
"807","DNAJC3"
"808","DNAJC5B"
"809","DNAJC6"
"810","DNASE1"
"811","DNASE1L2"
"812","DNLZ"
"813","DNMBP"
"814","DOC2A"
"815","DOC2B"
"816","DOCK3"
"817","DOCK6"
"818","DOCK7"
"819","DOCK9"
"820","DOK4"
"821","DOK5"
"822","DOK6"
"823","DOLK"
"824","DPEP2"
"825","DPF3"
"826","DPH2"
"827","DPH6"
"828","DPYSL4"
"829","DRAM2"
"830","DRD2"
"831","DRGX"
"832","DSE"
"833","DST"
"834","DSTYK"
"835","DTHD1"
"836","DTX1"
"837","DUOXA1"
"838","DUPD1"
"839","DUS3L"
"840","DUSP1"
"841","DUSP10"
"842","DUSP18"
"843","DUSP19"
"844","DUSP2"
"845","DUSP3"
"846","DUSP4"
"847","DUSP5"
"848","DUSP6"
"849","DUSP8"
"850","DYRK1B"
"851","DYRK3"
"852","E2F2"
"853","E2F6"
"854","EARS2"
"855","EBF4"
"856","EBI3"
"857","EBNA1BP2"
"858","EBP"
"859","ECE1"
"860","ECE2"
"861","ECSCR"
"862","EDA2R"
"863","EDARADD"
"864","EED"
"865","EEF1A2"
"866","EEF1AKMT3"
"867","EFCAB10"
"868","EFCAB13"
"869","EFEMP2"
"870","EFHC1"
"871","EFHD1"
"872","EFNA3"
"873","EFNA4"
"874","EFR3B"
"875","EGLN1"
"876","EGR1"
"877","EGR2"
"878","EGR3"
"879","EGR4"
"880","EHD2"
"881","EHD4"
"882","EID2B"
"883","EID3"
"884","EIF2AK2"
"885","EIF2B2"
"886","EIF4A2"
"887","EIF4E3"
"888","EIF4ENIF1"
"889","EIF4G1"
"890","ELAC1"
"891","ELF3"
"892","ELFN2"
"893","ELK3"
"894","ELL2"
"895","ELOVL4"
"896","ELOVL6"
"897","EMID1"
"898","EMP1"
"899","EMX1"
"900","ENC1"
"901","ENO2"
"902","ENOX1"
"903","ENPEP"
"904","ENPP2"
"905","ENPP3"
"906","ENPP4"
"907","ENPP6"
"908","ENTPD1"
"909","EOGT"
"910","EOMES"
"911","EPAS1"
"912","EPB41"
"913","EPB41L1"
"914","EPB41L4B"
"915","EPB41L5"
"916","EPGN"
"917","EPHA1"
"918","EPHX1"
"919","EPHX2"
"920","EPHX4"
"921","EPOR"
"922","EPS8"
"923","EPX"
"924","ERBB2"
"925","ERBB3"
"926","ERC2"
"927","ERCC8"
"928","ERFE"
"929","ERMN"
"930","ERN1"
"931","ERP27"
"932","ESR1"
"933","ESR2"
"934","ESS2"
"935","ETF1"
"936","ETS2"
"937","ETV4"
"938","ETV5"
"939","EVA1B"
"940","EVA1C"
"941","EVI2A"
"942","EVI2B"
"943","EVI5"
"944","EVPL"
"945","EXD2"
"946","EXOC6"
"947","EXPH5"
"948","EXTL3"
"949","F11R"
"950","F12"
"951","F2RL3"
"952","F5"
"953","FAAH2"
"954","FADS2"
"955","FADS3"
"956","FAM102A"
"957","FAM105A"
"958","FAM109A"
"959","FAM114A1"
"960","FAM117A"
"961","FAM117B"
"962","FAM129A"
"963","FAM131A"
"964","FAM131C"
"965","FAM135A"
"966","FAM13A"
"967","FAM153A"
"968","FAM153B"
"969","FAM153C"
"970","FAM162A"
"971","FAM167A"
"972","FAM167B"
"973","FAM178B"
"974","FAM181A"
"975","FAM182B"
"976","FAM189A1"
"977","FAM19A2"
"978","FAM200B"
"979","FAM206A"
"980","FAM20C"
"981","FAM210A"
"982","FAM214B"
"983","FAM228A"
"984","FAM234B"
"985","FAM24B"
"986","FAM35A"
"987","FAM3C"
"988","FAM43A"
"989","FAM46A"
"990","FAM46C"
"991","FAM49A"
"992","FAM57B"
"993","FAM60A"
"994","FAM72C"
"995","FAM76A"
"996","FAM78A"
"997","FAM89A"
"998","FAM89B"
"999","FAM8A1"
"1000","FAM92A"
"1001","FAM98A"
"1002","FANK1"
"1003","FARP2"
"1004","FARSB"
"1005","FASLG"
"1006","FASN"
"1007","FASTKD2"
"1008","FBF1"
"1009","FBLN2"
"1010","FBXL16"
"1011","FBXL6"
"1012","FBXL8"
"1013","FBXO15"
"1014","FBXO24"
"1015","FBXO27"
"1016","FBXO31"
"1017","FBXO32"
"1018","FBXO40"
"1019","FBXO6"
"1020","FBXW8"
"1021","FBXW9"
"1022","FCER1G"
"1023","FCGBP"
"1024","FCGR2A"
"1025","FCGR3A"
"1026","FCHO2"
"1027","FCMR"
"1028","FDPS"
"1029","FDX2"
"1030","FDXR"
"1031","FECH"
"1032","FER"
"1033","FERMT2"
"1034","FEZ1"
"1035","FFAR1"
"1036","FGD3"
"1037","FGD4"
"1038","FGF11"
"1039","FGF2"
"1040","FGF22"
"1041","FGF6"
"1042","FGGY"
"1043","FGL2"
"1044","FGR"
"1045","FHIT"
"1046","FHL2"
"1047","FHL3"
"1048","FHOD3"
"1049","FILIP1L"
"1050","FLI1"
"1051","FLNB"
"1052","FLT1"
"1053","FLT3LG"
"1054","FLVCR2"
"1055","FMNL2"
"1056","FMO4"
"1057","FMO5"
"1058","FMOD"
"1059","FN1"
"1060","FN3K"
"1061","FNDC3B"
"1062","FNDC8"
"1063","FOS"
"1064","FOSB"
"1065","FOSL1"
"1066","FOXA3"
"1067","FOXD1"
"1068","FOXJ1"
"1069","FOXL1"
"1070","FOXP2"
"1071","FOXP4"
"1072","FP565260.4"
"1073","FP565324.1"
"1074","FRMD4B"
"1075","FRMD5"
"1076","FRMD6"
"1077","FSBP"
"1078","FSCN1"
"1079","FSD1L"
"1080","FST"
"1081","FSTL3"
"1082","FURIN"
"1083","FUS"
"1084","FUT11"
"1085","FUT2"
"1086","FUT8"
"1087","FXYD1"
"1088","FXYD6"
"1089","FXYD7"
"1090","FYB1"
"1091","FZD3"
"1092","FZD6"
"1093","G0S2"
"1094","G3BP2"
"1095","GAB1"
"1096","GAB2"
"1097","GABARAPL1"
"1098","GABBR1"
"1099","GABPB1"
"1100","GAD1"
"1101","GADD45A"
"1102","GADD45B"
"1103","GADD45G"
"1104","GAL3ST2"
"1105","GAL3ST3"
"1106","GAL3ST4"
"1107","GALNT12"
"1108","GALNT18"
"1109","GALNT6"
"1110","GALR2"
"1111","GALT"
"1112","GAREM2"
"1113","GARS"
"1114","GAS2L3"
"1115","GAS7"
"1116","GATA2"
"1117","GATAD2A"
"1118","GBE1"
"1119","GBP1"
"1120","GCA"
"1121","GCGR"
"1122","GCH1"
"1123","GCKR"
"1124","GCNA"
"1125","GCNT2"
"1126","GCNT7"
"1127","GCSAM"
"1128","GCSAML"
"1129","GDAP1"
"1130","GDF10"
"1131","GDF15"
"1132","GDPD1"
"1133","GDPD3"
"1134","GEM"
"1135","GFM1"
"1136","GFOD1"
"1137","GGN"
"1138","GGT1"
"1139","GID4"
"1140","GIMAP1"
"1141","GIMAP2"
"1142","GIMAP4"
"1143","GIPC1"
"1144","GIPR"
"1145","GJA3"
"1146","GJB2"
"1147","GJB6"
"1148","GJC2"
"1149","GK"
"1150","GKAP1"
"1151","GLA"
"1152","GLB1L3"
"1153","GLCCI1"
"1154","GLDC"
"1155","GLI1"
"1156","GLI2"
"1157","GLIPR1"
"1158","GLIPR1L1"
"1159","GLIPR2"
"1160","GLIS2"
"1161","GLT1D1"
"1162","GNA15"
"1163","GNAI1"
"1164","GNAO1"
"1165","GNG13"
"1166","GNG14"
"1167","GNG2"
"1168","GNG4"
"1169","GNG8"
"1170","GNL3"
"1171","GNLY"
"1172","GNMT"
"1173","GNPNAT1"
"1174","GOLGA6L10"
"1175","GOLGA7B"
"1176","GOLGA8H"
"1177","GOLGA8N"
"1178","GOLGA8O"
"1179","GOLIM4"
"1180","GOLM1"
"1181","GOLPH3L"
"1182","GORAB"
"1183","GP5"
"1184","GP6"
"1185","GPAT3"
"1186","GPATCH4"
"1187","GPC2"
"1188","GPC3"
"1189","GPC4"
"1190","GPC5"
"1191","GPCPD1"
"1192","GPD1"
"1193","GPD1L"
"1194","GPHN"
"1195","GPI"
"1196","GPR132"
"1197","GPR15"
"1198","GPR150"
"1199","GPR155"
"1200","GPR157"
"1201","GPR160"
"1202","GPR162"
"1203","GPR176"
"1204","GPR182"
"1205","GPR183"
"1206","GPR27"
"1207","GPR35"
"1208","GPR55"
"1209","GPR68"
"1210","GPR75"
"1211","GPR84"
"1212","GPR87"
"1213","GPRC5C"
"1214","GPRIN1"
"1215","GPT2"
"1216","GPX3"
"1217","GRAMD1B"
"1218","GRAMD2B"
"1219","GRHL3"
"1220","GRID2IP"
"1221","GRIN2C"
"1222","GRIN3B"
"1223","GRINA"
"1224","GRWD1"
"1225","GSAP"
"1226","GSDMA"
"1227","GSDMB"
"1228","GSG1L"
"1229","GSN"
"1230","GSTA4"
"1231","GSTM2"
"1232","GSTT2B"
"1233","GTF2IRD1"
"1234","GTPBP4"
"1235","GUCA1A"
"1236","GUCA1B"
"1237","GYS2"
"1238","GZMA"
"1239","GZMB"
"1240","GZMH"
"1241","GZMK"
