,CD19_Donor76_Day11,CD19_Donor76_Day15,CD19_Donor76_Day21,CD19_Donor86_Day11,CD19_Donor86_Day15,CD19_Donor86_Day21,CD19_Donor90_Day11,CD19_Donor90_Day15,CD19_Donor90_Day21,Control_Donor76_Day0,Control_Donor86_Day0,Control_Donor90_Day0,HA_Donor76_Day11,HA_Donor76_Day15,HA_Donor76_Day21,HA_Donor86_Day11,HA_Donor86_Day15,HA_Donor86_Day21,HA_Donor90_Day11,HA_Donor90_Day15,HA_Donor90_Day21,cluster,Genesymbol,
LIG3,0.09398458,0.403086497,0.661106931,-0.731369649,0.645669419,0.332728435,-0.354867845,0.140538335,0.292847292,-2.487324882,-2.307341117,-1.459975822,1.152075027,1.252092546,0.562916688,0.463656224,0.499790154,-0.116526195,0.610601864,0.580901914,-0.234590398,C4,LIG3,ENSG00000005156.11
FAM214B,0.902662359,-0.026970441,-0.663935905,0.875475692,-0.203723295,-0.941189298,1.106613911,0.104073006,-1.227260794,-2.206978266,-1.566783386,-0.626653113,1.117101077,1.042527543,-0.823050545,1.285444155,0.600764958,-0.154584761,1.143268226,0.446988743,-0.183789866,C1,FAM214B,ENSG00000005238.19
TSPOAP1,0.624295798,0.244260591,0.131784472,0.441973825,0.496626936,0.887900886,0.969815859,1.356226687,1.052803759,-0.07821665,-0.021861189,0.856118205,-2.344883763,0.461935288,-0.70920787,-1.343020441,0.466423628,-0.320889204,-2.135345266,-0.172774839,-0.863966715,C2,TSPOAP1,ENSG00000005379.15
RHBDD2,-1.419934217,0.06507188,1.524031409,-1.315522109,0.086570492,1.034855824,-1.784585643,0.566979727,0.945849491,1.339100527,0.613372557,0.530328065,-1.435560408,0.205765119,-0.444331371,-1.128352229,0.07698802,0.588419581,-1.171126568,0.374843458,0.747236394,C4,RHBDD2,ENSG00000005486.16
ITGA2B,-0.772937174,-0.934203357,-0.851142271,-0.671784539,-0.893795978,-0.749803676,-0.448002614,-0.934203357,-0.535532833,2.593393302,-0.395624489,0.239388248,-0.288482804,-0.356107235,-0.380449809,0.114091041,0.85941061,0.071095281,1.859737507,1.411414644,1.063539504,C3,ITGA2B,ENSG00000005961.17
TMEM98,-0.211202675,-0.336242089,0.00814143,-0.961758658,1.104089835,2.703076413,-1.270109044,-0.2616393,1.034983659,-1.342971974,0.811732993,0.199750545,-1.019242803,-0.39492339,-0.192366576,-0.842596795,0.679083302,-0.244893252,1.474474287,-0.64204582,-0.295340089,C4,TMEM98,ENSG00000006042.11
YBX2,2.343509375,-0.027951549,0.083336867,1.34766943,-0.801247091,0.07817678,0.046488962,-0.80075285,-1.05054944,-0.769082556,-0.749653689,-1.171379452,0.609519392,1.31346016,-0.713312011,1.316344348,1.262841376,-0.882906513,-0.710652306,-0.738575443,0.014716211,C1,YBX2,ENSG00000006047.12
TMEM132A,-0.661215763,-0.928788626,-1.090005697,-0.658821624,-0.923708436,-0.580785135,-0.841405557,-0.713273903,0.314563698,-1.090005697,-1.046463495,-0.583486337,0.345868775,0.166575057,0.289806275,1.185672294,1.722364177,1.917590335,0.690705457,1.015453658,1.469360542,C3,TMEM132A,ENSG00000006118.14
TNFRSF12A,-0.470086914,0.40703575,1.299457081,-0.229145381,-0.052663515,1.103497975,-0.424361886,0.485824355,1.345063763,-2.179697099,-2.059979555,-1.739454949,0.707569809,0.409200063,-0.681477759,0.811963138,-0.086341775,0.327080383,0.554634733,0.034730916,0.437150865,C4,TNFRSF12A,ENSG00000006327.13
BAIAP2L1,1.067435941,-0.479595158,-1.547561865,0.155770221,-0.553866725,-0.630923,-0.621742453,-0.725481358,-1.342934799,-0.82756599,-1.121855524,-0.524875317,1.524299121,0.609590297,-0.477810161,2.364318491,0.660666175,0.485023593,0.786428571,0.753373034,0.447306905,C3,BAIAP2L1,ENSG00000006453.13
KDM7A,0.411211446,-1.602158867,-0.970456157,0.415427368,-0.904937775,0.031092654,1.335683447,-0.405359808,-0.348164774,-2.241067057,-1.283590474,0.790450772,0.924613343,0.012246802,-0.535115907,1.013204131,0.414538117,0.796280358,1.567078744,-0.139497623,0.71852126,C1,KDM7A,ENSG00000006459.10
AGK,-0.407099296,0.44749127,0.588453679,-0.658538739,-0.153926829,-0.294917615,-0.453125881,-0.329863612,-0.113055726,-2.652275696,-1.670331209,-1.455958024,1.126646246,1.254937929,1.002230325,0.530972949,0.756168871,0.522708117,0.891627842,0.790177499,0.277677899,C5,AGK,ENSG00000006530.15
TTC22,0.975996221,0.04118573,-0.315858763,0.517843896,0.037521529,0.829863341,1.051631999,0.642382511,0.428424249,0.25906967,1.212218754,2.582802361,-0.990857646,-0.98471101,-0.507857865,-0.673810442,-0.829335855,-0.883740442,-1.182823607,-0.875904771,-1.33403986,C2,TTC22,ENSG00000006555.10
