,CD19_Donor76_Day11,CD19_Donor76_Day15,CD19_Donor76_Day21,CD19_Donor86_Day11,CD19_Donor86_Day15,CD19_Donor86_Day21,CD19_Donor90_Day11,CD19_Donor90_Day15,CD19_Donor90_Day21,Control_Donor76_Day0,Control_Donor86_Day0,Control_Donor90_Day0,HA_Donor76_Day11,HA_Donor76_Day15,HA_Donor76_Day21,HA_Donor86_Day11,HA_Donor86_Day15,HA_Donor86_Day21,HA_Donor90_Day11,HA_Donor90_Day15,HA_Donor90_Day21,cluster,Genesymbol,
GPI,0.926335282,0.177802832,-0.097260207,0.770568194,0.333848932,0.359578937,1.088850647,0.271219379,0.295519707,-2.601695555,-2.052193153,-2.198534453,0.468902616,0.109048679,0.181457104,0.559816071,0.253063942,0.241429537,0.596279278,0.163797264,0.152164968,C1,GPI,ENSG00000105220.14
EBI3,-0.789745671,-0.197419453,0.557806734,-0.524865001,-0.346250001,-0.20523865,-1.054672583,-0.4081014,0.307003466,-1.834279169,-1.771725749,-1.790842888,0.683686794,0.601184243,1.159312642,0.915477491,0.984775402,0.922950078,1.002146836,1.078886018,0.70991086,C5,EBI3,ENSG00000105246.5
OVOL3,0.25123215,-0.3184842,-0.620328089,-0.250970912,0.228961574,0.735115889,0.745504551,-0.144770248,-0.866096783,-1.637565105,-1.637565105,-1.248310288,-0.798144949,0.592831529,1.298875989,-0.893632923,0.54302308,1.947658883,0.102388288,0.266601403,1.703675267,C5,OVOL3,ENSG00000105261.7
SLC1A5,-0.115108924,0.693385948,0.414467601,-0.042103593,0.693931376,0.477211466,-0.076046012,0.572323003,0.414638362,-2.414303832,-2.495114637,-1.906993583,0.103185816,0.741939153,0.546677313,0.167715261,0.824720282,0.198851963,0.221442095,0.870737845,0.108443098,C4,SLC1A5,ENSG00000105281.12
APLP1,-0.525913264,-0.670991297,-0.776336086,-0.736824436,-0.741951533,-0.854783902,-0.629224998,-0.633369197,-0.213332783,-1.434790062,-1.384849447,-1.092549324,0.863686502,0.745552234,1.217247479,0.989892172,0.882498873,1.19003439,1.346157921,1.367425315,1.092421441,C3,APLP1,ENSG00000105290.11
BBC3,-0.363545464,-1.30012551,-0.083373437,0.267343022,-1.676885577,-1.071340316,0.60117276,-1.433896227,-0.992288415,-0.193129467,-0.863837384,-0.800948663,1.088733203,1.388275503,-0.308346993,1.312125644,0.642223832,0.551375411,0.850096933,1.412637534,0.973733611,C3,BBC3,ENSG00000105327.17
DENND3,-0.11737664,-0.136355707,0.237185299,-0.365628717,-0.537620952,0.170587948,-0.296506697,-0.533449755,0.135731244,-1.804133321,-2.809268765,-1.242008518,1.202679683,0.983390548,0.889802558,0.785482641,0.626283245,0.981449636,0.763755708,0.374936016,0.691064547,C5,DENND3,ENSG00000105339.10
CD79A,-0.009971373,-0.453611555,-1.594783745,1.089655539,-0.565146738,-1.254778762,0.530327947,-0.2750903,-1.143126546,-0.701950948,1.021163188,2.37590911,0.95773622,-0.502339083,-1.534385511,1.277510711,0.117248436,0.124986814,0.29737489,0.22678087,0.016490835,C1,CD79A,ENSG00000105369.9
ICAM4,1.557463716,-0.868982473,-0.315505352,1.664705763,-1.178464172,0.025003085,0.62105247,-0.386014738,-0.423476416,-0.172695959,-1.563903385,-0.021308843,2.357825222,0.408205338,-1.83730681,0.036505375,0.242565934,-0.318335219,-0.087305893,0.309256617,-0.049284261,C1,ICAM4,ENSG00000105371.8
ICAM5,0.073587141,-0.774079362,-0.677082806,-0.219675523,-0.90094305,-0.941417587,-0.078990613,-1.478172897,0.441817105,-1.478172897,-1.478172897,-0.611988122,1.168102905,1.148767247,0.26751255,1.279082722,0.660264287,0.555119151,2.023078668,0.117315975,0.904048003,C3,ICAM5,ENSG00000105376.4
CD33,-0.360745081,1.158079971,1.358526411,0.067549887,1.666293125,1.958223255,-0.259771617,0.787888241,1.569805559,-0.222878784,-0.995414811,-1.29037035,-1.119916063,-1.00275307,-0.502875,-0.13511941,-0.297603756,-0.757921669,-0.238479352,-0.728918993,-0.653598493,C2,CD33,ENSG00000105383.14
PTPRS,-1.025756537,-1.014593029,-0.902141933,-0.803436989,-0.53968758,-0.46376515,-0.882134834,-0.994746954,-0.826336187,-0.382277343,1.673410986,-0.413241048,-0.015720874,-0.346908995,-0.348726077,1.187701738,2.197348053,1.193676461,0.765379395,1.032399794,0.909557104,C3,PTPRS,ENSG00000105426.16
GRWD1,-0.669549282,1.074067756,0.869251283,-0.851573374,0.985307918,0.880032177,-0.437016701,1.214298967,1.068690187,-2.217396974,-1.778632901,-1.117689249,-0.603271305,-0.107753388,1.048351332,-0.748707435,0.546016734,0.296141188,-0.387882771,0.358923724,0.578392114,C4,GRWD1,ENSG00000105447.12
CCDC114,0.603051387,-0.187539376,-1.365020019,1.768637228,-0.548576441,-0.061811408,1.742434115,-1.139514292,0.939292964,-1.822661556,-1.266039983,0.483235475,1.295205583,-0.522972979,-0.409658272,0.484955536,-0.689371357,0.1640374,0.978942166,-0.311256008,-0.135370164,C1,CCDC114,ENSG00000105479.15
PLA2G4C,-0.836977656,-0.519770666,-0.521625894,-1.246942978,-0.733766167,-0.259483951,-0.597872288,0.155467452,0.848347031,-1.557146756,-1.557146756,-0.512983792,0.137781023,0.061398503,0.055986538,0.402297715,0.765305484,0.702312264,1.588700718,1.718950516,1.90716966,C5,PLA2G4C,ENSG00000105499.13
RAB3D,-0.032329814,-1.056496882,-1.332063611,0.482968179,-0.043247932,-1.166389712,0.38503305,0.048126383,-0.377762095,-1.45843343,-1.906786683,-0.95123521,0.521090835,0.711478593,-0.002868017,1.521840621,1.467618975,0.314001482,1.505257973,0.707797685,0.66239961,C3,RAB3D,ENSG00000105514.7
DBP,1.028433472,-1.119818345,-1.410365379,1.256946028,-0.96559768,-1.300438444,1.323907728,-0.629634189,-0.805390479,1.342198118,1.295611835,1.062353533,0.453421003,-0.260158977,-0.996760621,1.116363593,-0.752973752,-0.181976251,0.534259563,-0.811596157,-0.178784598,C1,DBP,ENSG00000105516.10
PLPPR2,-0.743894466,-1.144783126,-1.851796673,-0.431768434,-0.933229424,-1.310266854,-0.381239616,-0.815862303,-1.022196617,1.595976174,1.200169813,1.780575131,-0.041723196,0.771726699,-0.213787111,0.415737508,0.522338052,0.337462045,0.761718587,0.708323775,0.796520036,C3,PLPPR2,ENSG00000105520.10
PLEKHA4,0.161539262,-1.575083519,-0.379687471,1.750663755,-0.412455276,-0.511756439,0.714367929,-0.348983907,-0.770514043,-1.404516977,-0.989953686,-1.730426806,0.363314484,-0.815942366,0.196470479,1.429372375,0.723756947,0.995299954,0.767907989,0.851357327,0.98526999,C1,PLEKHA4,ENSG00000105559.11
MAST1,-0.358945868,-0.577645453,-1.191321831,0.110483215,0.885646902,-0.85272912,0.198226601,-0.990591553,-1.075301805,-1.163000524,-0.652796177,-0.52763653,1.79348326,0.108751763,-0.375549864,1.086893701,-0.116919392,0.005251682,2.698724566,0.592286384,0.402690042,C3,MAST1,ENSG00000105613.9
RAB3A,0.649358578,-0.559222792,-0.564905196,0.23071497,-0.507699212,-0.87233155,0.308430855,-0.455606966,-1.105316766,2.034169077,1.51217483,2.257401225,0.410207375,-0.237766421,-1.264263581,0.373266141,-0.276118573,-1.126483981,0.60993563,-0.436351094,-0.979592548,C1,RAB3A,ENSG00000105649.9
SUGP1,0.048000724,0.1982304,0.026316913,-0.076494778,0.611810371,0.670200416,0.465111858,0.876126437,0.702476776,-1.339256292,-2.623209594,-1.174347999,-1.385054698,0.31115969,1.070430444,-1.132311314,0.724531632,1.019090886,-0.552070505,0.592570971,0.966687662,C4,SUGP1,ENSG00000105705.15
SCN1B,-0.345069947,-0.842709564,-0.512179532,-0.456542083,-0.902076325,-0.485438918,-0.310761388,-0.5018019,-0.908719459,2.215726853,1.263510003,1.232161997,-0.662462822,-0.767978055,0.562661435,-0.773165896,-0.426986474,1.295715729,-0.200966237,-0.548279138,2.075361721,C5,SCN1B,ENSG00000105711.11
RASA4,0.179649862,-0.309981842,-1.161306078,-0.252519389,-0.397518723,-2.012369537,1.297734091,0.395510928,-1.407676029,1.213615153,0.867619473,2.099576821,-0.092978252,0.535423355,-1.381339452,-0.233621044,0.341473811,-0.833987812,0.055930275,0.79427808,0.302486308,C1,RASA4,ENSG00000105808.17
CDK6,-0.137206807,0.473114846,0.44312817,-0.648682924,-0.027938655,0.175726498,-0.383274205,0.107807168,0.077970227,-2.599946991,-2.147873127,-1.693618946,0.871295692,0.865450667,0.882597022,0.445939926,0.777551919,0.655492777,0.704630905,0.666779968,0.49105587,C5,CDK6,ENSG00000105810.9
NAMPT,-0.2821612,0.175310276,0.672108042,-0.58877166,-0.129239492,0.725372138,-0.231423013,-0.038927292,0.946677446,-2.670173267,-2.14922036,-1.547022861,0.448101298,0.324513291,0.89737688,0.131221962,0.444882666,0.801660879,0.634704643,0.554388236,0.880621387,C5,NAMPT,ENSG00000105835.11
PIK3CG,0.653062818,0.720591841,0.51401957,0.071754182,0.433682183,0.446019049,0.604887806,0.610933849,0.374096582,-2.793192159,-2.397842024,-1.14327847,-0.055895249,0.244972397,0.718664218,-0.077560285,0.264052395,1.081955972,-0.62724731,-0.256143931,0.612466566,C4,PIK3CG,ENSG00000105851.10
PON3,-0.560673857,-0.755669777,-0.755669777,-0.755669777,-0.755669777,-0.538462305,-0.755669777,-0.755669777,-0.551692562,-0.755669777,-0.755669777,-0.755669777,0.041393498,0.544608554,0.836118529,-0.296703097,1.195888891,1.200164355,0.523802695,2.123710809,2.282872483,C5,PON3,ENSG00000105852.10
PON2,-0.970080356,-0.22390935,-0.625804862,-1.061116157,0.053230582,-0.284930163,-0.724662912,0.070293475,-0.127577313,-1.725360156,-1.379629672,-1.319309183,0.630865731,1.281454296,1.373987096,-0.25261721,1.098398419,0.659879828,0.691063956,1.650079597,1.185744353,C5,PON2,ENSG00000105854.12
PTN,-0.931132986,-0.739873988,-1.042713765,-0.829816298,-0.654768327,-0.167336824,-0.720098735,-0.275028193,0.284788582,-1.042713765,-0.963532896,-1.042713765,1.071712669,0.656011604,1.766483093,-0.542595413,0.419001509,0.143214387,1.257648539,1.97707739,1.376387182,C5,PTN,ENSG00000105894.11
DFNA5,-0.025291229,-0.141285772,0.440121845,-0.116979379,0.250027185,-0.807888757,-0.087756403,-0.340417221,-0.367497123,-1.957247937,-1.979518022,-1.974495203,1.034976483,0.170885833,0.393055602,0.763628732,1.252306856,0.846508382,1.358941632,1.063057694,0.224866802,C3,DFNA5,ENSG00000105928.13
ATP6V0A4,-0.657520337,-0.657520337,-0.657520337,-0.657520337,-0.657520337,-0.657520337,-0.511037408,-0.532923315,-0.657520337,-0.657520337,-0.657520337,-0.657520337,-0.497145474,0.131019987,-0.172306603,2.319346709,1.742563897,0.522832143,2.236239872,1.024821817,0.311791739,C3,ATP6V0A4,ENSG00000105929.15
TFEC,0.891290371,2.308590975,1.79691232,-0.084090318,1.91136351,0.848784685,-0.089466811,0.300878624,0.395642104,-0.669775165,-0.559671989,-0.65609572,-0.852133063,-0.448301299,-0.3436479,-0.755239129,-0.881246616,-0.79288855,-0.773717706,-0.809319162,-0.737869161,C2,TFEC,ENSG00000105967.15
RNF32,-0.155598564,0.16265916,0.339359891,-0.494256966,-0.67867618,0.294327121,-0.344733729,0.274823851,0.048527947,-2.357581212,-1.97674111,-0.583529596,-0.241554961,1.300851907,1.372390001,-0.634913628,0.567455561,1.287358258,-0.520133015,1.256677715,1.08328755,C5,RNF32,ENSG00000105982.16
LFNG,0.702940244,1.537502799,1.894699902,0.251159353,0.891404329,1.017603792,0.184086282,1.073112632,0.723298037,-0.626501039,-1.04746279,-0.725229468,0.057686846,0.210639991,-0.581173182,-0.101129637,-0.277259271,-1.03095206,-1.006026005,-1.110039407,-2.038361349,C2,LFNG,ENSG00000106003.12
PLEKHA8,-0.060910609,-0.442455094,-0.829726506,-0.345159749,-0.450215689,-0.472419703,0.092767944,-0.341055992,-0.542321545,-2.168487356,-1.605918665,-1.07087519,1.507378633,0.549736979,0.869028441,1.297629133,0.601804836,0.688837627,1.855798193,0.274582871,0.591981443,C3,PLEKHA8,ENSG00000106086.18
GARS,-0.249730121,0.999644511,0.547292951,-0.241675381,1.12127545,0.479362252,-0.127041499,0.942363979,0.413736905,-2.22344849,-2.233025578,-2.007020782,-0.170937528,0.415693692,0.490975153,-0.060030008,0.85163266,-0.074659594,0.365654775,0.85941972,-0.099483066,C4,GARS,ENSG00000106105.13
HSPB1,-1.078361021,-0.798480208,-0.160925003,-0.780627692,-1.151476427,-1.042572647,-1.331038648,-0.954125963,-0.732008198,0.744316894,0.116930393,-1.373688688,0.92973845,1.05017847,0.07711319,1.060912547,0.943068632,0.923798325,1.019972905,0.833838939,1.703435749,C3,HSPB1,ENSG00000106211.8
NPTX2,-0.514465276,-0.558660789,-0.796070281,-1.38964686,-1.268786884,-1.100621754,-0.870087143,0.23291563,0.796249281,-1.38964686,1.03590997,1.031576608,1.652793668,0.593977475,0.249572271,0.881945934,-1.012194518,-0.383301497,1.493877951,0.250178738,1.064484332,C3,NPTX2,ENSG00000106236.3
SNX8,-0.415672735,0.905329862,1.211931637,-0.244045941,0.463543733,0.932671673,-0.195614275,0.741575705,0.957509739,-2.772675967,-1.652968519,-1.552305478,-0.180991811,-0.238573098,0.270797482,-0.045067525,1.071801229,-0.128613716,-0.081878721,0.842965953,0.110280773,C4,SNX8,ENSG00000106266.10
FBXO24,0.29528217,-0.177237576,-0.430045388,2.354788657,-1.254465144,-2.136541748,0.180965138,-1.162614782,-0.854284883,-0.609960187,-0.907103154,0.98167907,0.335713577,0.873354309,1.328300601,0.51562773,-0.335023325,0.189531952,0.652363606,-0.272254393,0.43192377,C1,FBXO24,ENSG00000106336.12
AGFG2,-0.086157256,-0.039787199,-0.237791067,-0.570815105,0.040216085,-0.242228795,-0.45555283,0.188216911,-0.292815253,-2.316869918,-2.312794485,-1.332491807,0.980104749,0.794425639,1.103455962,0.613931459,0.889951612,0.697160791,0.95284911,0.938855787,0.688135611,C5,AGFG2,ENSG00000106351.12
SERPINE1,-0.478487142,-0.63291905,0.814190745,-0.19636452,-0.795505747,0.036194222,0.216592157,-0.642434674,0.524710272,-0.79683099,-1.019028525,-0.526103772,-0.440043097,-0.539833511,0.917744558,-0.423468521,-0.403152968,2.526147843,-0.613173622,-0.154866425,2.626632766,C5,SERPINE1,ENSG00000106366.8
GLCCI1,0.842341537,-1.746150184,1.110103163,0.386098106,-1.186958997,-0.431908646,1.77057455,-0.315903968,0.331121694,-1.607570309,-0.076129743,1.532164089,-0.675318018,0.191293694,-0.560205748,-0.346494595,-0.905060817,0.885312482,-0.374159236,-0.311766902,1.488617846,C1,GLCCI1,ENSG00000106415.12
ZNF862,1.057565177,-1.272206371,-1.110135267,0.186439728,-1.069007945,-1.885484251,1.14327097,0.548284352,-1.151026809,-1.659310511,-0.492079458,0.864609323,0.846551338,0.640599629,-0.408390966,0.949395533,-0.228979428,0.97129856,0.682703961,0.642671771,0.743230666,C1,ZNF862,ENSG00000106479.10
MEST,-1.199059517,-0.588748725,-0.529244559,-0.927684554,-0.810509442,-0.884557751,-1.095160856,-0.340942393,-0.777133594,-0.598765483,0.620914689,0.401205606,-0.443402572,-0.318140333,1.657004685,-0.220806334,0.394831326,1.534368851,0.446276703,1.493477534,2.186076717,C5,MEST,ENSG00000106484.14
TSPAN13,-0.739378831,-0.87249554,-0.507741728,-0.699977224,-0.56401021,-0.601300688,-0.949005704,-0.726382061,-0.557070439,-1.401315111,-1.200311987,-0.792976005,0.635492162,0.590194506,0.993271758,0.684687316,0.985426136,1.349088408,1.180641266,1.62887116,1.564292817,C3,TSPAN13,ENSG00000106537.7
GIMAP2,1.378017663,-0.041741427,0.186773006,1.462460538,0.222259781,0.331064698,1.457175446,0.39394438,-0.305981933,-3.085034872,-0.520308678,-0.487943563,0.610066057,0.21204049,-0.419964992,0.808721107,-0.315923091,-0.899345288,0.3931432,-0.459404087,-0.920018435,C1,GIMAP2,ENSG00000106560.10
PRKAG2,0.256507401,-0.993373438,-1.729071296,-0.051842222,-0.423990688,-1.124888501,-0.05635984,0.035544872,-0.99200696,1.851953789,1.959579463,2.232344661,-0.174514473,0.298247156,-0.446314361,0.49301344,0.353450835,-0.391076112,-0.500865706,-0.30596227,-0.29037575,C1,PRKAG2,ENSG00000106617.13
AEBP1,-0.164151767,0.188803434,-0.184135783,-0.056971547,-0.330548909,-1.031876934,0.07423764,-0.039138026,-0.69573254,-2.220478675,-1.497747921,-1.774014682,1.270520229,1.033758398,0.57536847,1.333807663,0.843056882,0.318600678,1.245020712,0.821408478,0.290214199,C3,AEBP1,ENSG00000106624.10
FSD1L,2.393729684,0.095240375,0.210218025,0.883456801,0.394151924,0.798773607,1.76948806,1.374955201,-0.034486298,-0.41957984,-1.798290924,-0.444055326,-0.115623334,-0.710416538,-1.063094715,-0.641415953,-0.25880953,-0.975629114,-0.797120445,-0.130275343,-0.531216317,C2,FSD1L,ENSG00000106701.11
CORO2A,2.366914794,0.325496653,-0.25823587,1.131494711,-0.532266312,-0.314960814,1.375248715,-0.463043101,-0.454841446,-0.075141718,0.004862011,1.053453943,0.74687352,-0.098039674,-1.136729026,1.03158654,-0.446084147,-1.382363169,-0.016994544,-1.524560034,-1.332671032,C1,CORO2A,ENSG00000106789.12
C5,1.53986807,-0.962897139,-1.133168461,1.455217659,-0.343727718,0.902069994,2.287500175,-0.662976294,-0.004877621,-1.024424454,0.288725872,0.732980976,-0.981865571,-0.976203841,0.153804912,-0.143938302,-1.042166663,0.427524087,-1.072622865,-0.213103392,0.774280575,C1,C5,ENSG00000106804.7
OGN,0.658579103,1.830983781,-0.126766359,1.282357971,-0.238044207,0.402891288,0.973900823,0.17368255,1.021189497,-1.750946863,-1.750946863,-1.234148482,-0.431592471,-0.398268087,1.058986579,-0.888983792,0.664940018,-0.843361633,-0.562653999,0.756932938,-0.598731792,C4,OGN,ENSG00000106809.10
PTGR1,-0.534952721,-0.780757861,-1.040135733,-0.830875668,-0.642674533,-0.426848348,-0.396930078,-0.964903337,-0.638537245,-1.082160233,-1.175139455,-1.04418091,0.741621231,0.112463956,1.216385739,1.194709051,1.287317243,1.503716565,1.450014392,1.061786403,0.990081542,C3,PTGR1,ENSG00000106853.18
SUSD1,1.045210357,0.953329114,1.361162771,0.379136615,0.908735963,1.288647012,0.995977762,1.224708849,1.29369269,-1.024705411,-1.174939357,0.323076321,-0.708575317,-0.546120682,-0.646227734,-1.213355067,-0.579867449,-0.995507717,-0.842372458,-0.979552851,-1.06245341,C2,SUSD1,ENSG00000106868.16
TNFSF8,1.098517748,0.483768482,1.311754633,0.829465395,0.522698104,0.983424016,1.200185582,1.092147541,0.731977044,-0.396450794,0.515934205,0.532451691,-0.504497788,-0.269069783,-0.93592208,-0.667777489,-0.718969714,-0.936113092,-1.430209985,-1.625309793,-1.818003924,C2,TNFSF8,ENSG00000106952.7
KDM4C,1.284150953,-1.7209591,-0.112592411,0.937826377,-1.146957819,0.601688763,1.616745102,-1.064864211,-0.18088973,-1.849896409,-0.496648762,0.769034427,0.688192532,-0.923038889,0.744454675,0.877720783,-0.660071782,0.486406481,0.482994961,-0.930675891,0.59737995,C1,KDM4C,ENSG00000107077.18
KANK1,0.675800106,1.265475695,1.687166073,0.786245165,0.780314898,-0.167654277,1.045180325,1.073080098,0.358401335,-1.714583816,1.079982596,0.625726044,-0.812041504,-0.517371159,-0.704751819,-0.676108003,-1.45254769,-1.115457604,-0.489709527,-0.906887803,-0.820259133,C2,KANK1,ENSG00000107104.18
NCS1,-1.037884755,-0.115031524,-0.717630884,-0.737898505,0.0909353,-0.006825065,-0.419970387,0.298819404,0.248493161,-1.688113338,-2.114420473,-1.587952426,0.851791151,1.175861688,0.805156215,0.448672854,1.122277834,0.314755715,1.198325126,1.227088954,0.643549956,C5,NCS1,ENSG00000107130.9
PIP5K1B,-0.741131177,0.262394836,0.250045256,-0.944305521,-0.132551351,0.115128523,-0.994105765,0.047036788,0.31152055,-2.032399277,-1.817644754,-1.809204188,0.782888852,0.840697862,0.996401327,0.53902656,0.658242737,1.076947329,0.8368251,0.588477929,1.165708386,C5,PIP5K1B,ENSG00000107242.17
APBA1,-0.232666012,1.870505472,1.016510777,-0.576876223,0.908862859,0.721466192,-0.228761339,0.542502179,0.585306412,-1.674448349,-1.80574257,-1.809941581,0.117057927,0.26257441,0.75716344,-0.965415459,-0.424508648,-0.596111886,0.848549917,0.902066521,-0.218094038,C4,APBA1,ENSG00000107282.7
SHB,-0.820097375,-1.018713141,-0.965435943,-0.537775988,-0.703618006,-0.3925861,-0.83107696,-1.056746488,-0.346398157,-0.641639692,-0.737230701,-0.389356662,0.900528099,0.290986219,1.469491496,1.009369363,-0.035802426,2.136451232,0.947942401,-0.226503035,1.948211863,C5,SHB,ENSG00000107338.9
CCNJ,-0.633053101,0.326160774,-0.062095627,-0.967058566,0.703528322,0.296650499,-0.643020084,0.466094531,0.441995297,-2.558476018,-1.382256353,-0.369142084,-0.563838457,0.02700124,1.349312352,-0.528404246,0.870292999,1.454076867,-0.570308155,0.860762746,1.481777065,C4,CCNJ,ENSG00000107443.15
ATRNL1,-0.333166931,-0.166034198,-1.033095162,-0.504879108,-0.09806228,-0.632364301,-0.728165123,-0.226115256,-0.559356858,-1.46512298,-1.46512298,-1.40303763,1.908116278,1.306506082,0.931258344,1.244907661,0.909378427,0.139339557,1.448371399,0.382703305,0.343941754,C3,ATRNL1,ENSG00000107518.16
DNMBP,0.471991941,-1.158487944,-2.641280204,0.57624306,-0.702466321,-0.828194048,0.743978241,0.473798472,-0.053835333,0.000908742,1.553916178,2.323458076,-0.296233582,-0.651686921,-0.246624788,0.69376374,-0.064564741,-0.392941187,0.14901245,0.266258705,-0.217014537,C1,DNMBP,ENSG00000107554.16
TRDMT1,0.917822756,1.076409027,1.336577656,0.491748834,0.727665554,0.744938326,0.364727883,1.509381323,0.703606281,-2.255417433,-1.407752277,-0.396636713,-0.742469231,-1.326229948,0.627937612,-0.734693982,-0.455087346,0.187218632,-1.0283438,0.104789953,-0.446193105,C2,TRDMT1,ENSG00000107614.21
MAPK8,-0.71937782,0.153629147,0.223561454,-1.356407467,-0.088401078,0.207129348,-1.007526561,-0.027933666,0.152223806,-2.306068238,-1.636870095,-1.202112869,0.819588846,1.041681266,1.128521689,0.181522195,0.762801109,0.852334327,0.963922135,1.001082409,0.856700063,C5,MAPK8,ENSG00000107643.15
PALD1,0.071004224,2.293076196,1.182754499,-0.193025649,1.752650886,0.117035019,-0.336942314,1.09021976,0.131311371,-1.610504513,-1.759729259,-0.959099889,0.408551355,-0.229974961,-0.434799973,0.000221209,-0.296077726,-0.626278781,0.715001991,-0.556663418,-0.758730028,C4,PALD1,ENSG00000107719.8
CDH23,0.42285469,-0.879391179,-0.922699284,-0.110894273,-0.968946103,-0.900376208,-0.828273692,-0.830205435,-1.140727713,1.791123179,1.298799208,2.265418774,-0.369249632,-0.720289008,-0.179449892,-0.875528919,0.192609341,0.382977088,0.534955376,1.162892575,0.674401108,C3,CDH23,ENSG00000107736.19
SPOCK2,0.763510406,-0.9389516,-0.859829723,0.254931312,-1.176410824,-1.015915234,1.08049205,-0.37585066,-0.98121785,0.24027402,0.560240882,3.027242122,0.315627526,0.228945107,-1.625281673,0.442120252,-0.453742873,-0.178394685,0.456514731,-0.031901446,0.267598161,C1,SPOCK2,ENSG00000107742.12
TWNK,-0.326496553,1.019740448,0.460501282,-0.53578418,0.982523671,0.527458111,-0.841275375,1.010810842,0.601796528,-2.28566086,-1.73283915,-1.561926631,-0.5592471,0.276979956,0.974514486,-0.516528522,0.862600015,0.520580877,-0.462028963,1.154853925,0.429427193,C4,TWNK,ENSG00000107815.7
LZTS2,0.677005948,-0.738011099,-1.93534349,0.804315485,-0.266863039,-2.038612624,1.100186159,0.433324248,-1.623951907,0.827238205,0.039158822,1.133440652,0.356291327,0.492341272,-0.902884837,0.914212706,0.362990187,-0.819030971,0.978774345,0.636293132,-0.430874522,C1,LZTS2,ENSG00000107816.17
GTPBP4,-0.90508921,1.185069122,0.690381733,-0.837741977,0.95285108,0.539314877,-1.044627204,0.558867641,0.750117349,-2.053188855,-1.937147956,-1.263962852,-0.353114432,0.009066051,1.05529926,-0.452988185,0.916092619,0.845626517,0.099041937,0.826839982,0.419292506,C4,GTPBP4,ENSG00000107937.18
NEURL1,-0.935763097,2.189737389,1.189188273,-1.458461765,1.010557509,0.252301804,-1.061441994,0.223506196,-0.737400544,-1.525854859,-1.163468747,1.214736074,0.184100545,-0.97345089,0.439983862,0.452468261,0.985414464,-0.46518937,0.4462213,-0.025605028,-0.241579386,C4,NEURL1,ENSG00000107954.10
STN1,1.36025046,-0.615909691,-0.376705337,1.64166631,-0.07614293,-0.577443283,1.322614907,-0.015329656,-0.1841212,-2.60224341,-0.842685793,-0.59262825,0.947373029,1.146451517,-0.994076219,1.059707528,-0.0778522,-0.413578472,0.520314005,-0.249216894,-0.380444419,C1,STN1,ENSG00000107960.10
MAP3K8,-0.820793715,-0.613546043,1.402813381,-0.168889735,-0.934853336,1.57120151,1.42077447,-0.736133484,1.515386936,-1.739151473,0.225205017,0.755856505,-0.91392263,0.081237803,0.761599009,-0.85222978,-0.097887042,1.015479467,-1.246493045,-0.603361766,-0.022292047,C4,MAP3K8,ENSG00000107968.9
CCDC6,-0.795429634,-0.295322829,-0.026322833,-0.9084924,-0.332734704,-0.040184658,-0.916683181,-0.617312642,0.077933892,-2.128745766,-1.480150085,-1.232416786,0.714647409,0.918151913,1.405278243,0.616265048,1.125615319,1.156128433,0.798481154,0.97285716,0.988436947,C5,CCDC6,ENSG00000108091.10
ZMIZ1,-0.190713225,0.176729725,0.7200019,-0.375779973,-0.105566826,0.277569798,-0.300431339,-0.116592014,0.472421404,-2.746243666,-2.022413349,-1.675247198,0.708505513,0.382435961,0.966377459,0.712493801,0.323105383,0.930129862,0.866117291,0.261354801,0.73574469,C5,ZMIZ1,ENSG00000108175.16
DNAJC12,-0.721997993,-0.235552337,-0.291995735,-0.243108262,0.183207791,-0.073260034,-0.876980992,-0.414075469,-0.58681093,-1.766970266,-1.766970266,-1.720531067,0.705001271,1.123474389,1.001377221,0.472880514,1.369655546,0.919199269,0.969188162,1.28942882,0.66484037,C5,DNAJC12,ENSG00000108176.14
PPIF,-0.27359002,0.749736002,0.864193342,-0.323730696,0.875153499,0.895576022,-0.209403654,0.864511817,1.107595949,-2.931318698,-1.884532782,-1.421639246,-0.043283489,0.295542682,0.414108541,0.043298346,0.426234432,-0.047090915,0.282486918,0.461443947,-0.145291997,C4,PPIF,ENSG00000108179.13
TSPAN14,1.121614983,1.116432696,1.168604319,0.616973408,0.857936187,0.960615376,1.287255799,1.362430426,0.774370047,-1.980157039,-0.743871025,-0.064700559,-0.419572438,-0.492626646,-0.846471577,-0.286790764,-0.607504624,-1.125441262,-0.584252476,-0.87278273,-1.242062102,C2,TSPAN14,ENSG00000108219.14
TBC1D12,-0.489048441,-0.70832116,-0.969155055,-0.832801039,-0.759506495,-0.428913456,-0.874616277,-0.928879673,-0.824600398,-0.969155055,-0.903175124,-0.824554934,1.138192527,0.838258133,0.980785937,1.975644289,1.660384921,1.149466949,0.300530661,0.659038069,0.810425623,C3,TBC1D12,ENSG00000108239.8
RAPGEFL1,-0.103041549,0.509768839,-0.891393021,0.123958757,0.594819121,-1.695264683,0.726418753,-0.211027901,-0.689685657,-1.869426683,-1.610926413,1.68859474,-0.464722073,0.15886859,1.473751606,-0.814190864,0.198922866,0.187883034,1.077910888,0.585466848,1.023314804,C1,RAPGEFL1,ENSG00000108352.11
