"","pc1_loadings","pc2_loadings","cartex_200gene"
"SYNGR3",0.0442102690174667,-0.0409137795389003,"yes"
"GNAI1",0.0467501055304768,-0.0160555439401827,"yes"
"C22orf23",0.0328664841557456,-0.0170104433178222,"no"
"DNAJB9",0.0327788594904136,0.0639438864142444,"no"
"CSRP3",0.0295771692082745,0.0447151682305754,"no"
"MTUS1",0.0429410204258546,-0.0155049736453739,"no"
"HEATR5A",0.0422365774795029,-0.0288979672789409,"no"
"AANAT",0.0260020546460563,0.085402319964242,"no"
"STARD8",0.0457033524051916,-0.0384824487685265,"no"
"KIF1A",0.0189162275373698,-0.0578067414800584,"no"
"SNX9",0.0429169452080636,0.0445387878752916,"yes"
"ZSWIM6",0.0473789550673083,-0.0318458117345699,"no"
"HELZ2",0.0296131123052439,0.0274004846244373,"no"
"SAMD10",0.0397917863707848,-0.063406685295805,"no"
"ZNF331",0.0331905891882219,0.0802128604757582,"no"
"PDLIM4",0.0460705421762846,-0.0294171373551506,"yes"
"NINJ1",0.0404316493175862,0.0206620642199559,"no"
"ZNF132",0.0292290141036654,0.0769847059767379,"no"
"PPARG",0.0464708611144997,0.00847233737770839,"yes"
"RAMP1",0.0351299003366914,0.00296566339444291,"yes"
"KDM6B",0.0356158538841086,0.053269700002814,"yes"
"REEP2",0.0434998962771372,-0.0557673131810525,"yes"
"SNAP25",0.0475962140257871,-0.022769921229313,"yes"
"SLC41A1",0.0364393139075765,-0.0689079516408634,"no"
"CCNA1",0.0372401240128483,-0.0587652789837014,"no"
"IRS4",0.0449671087498075,0.0118570489065927,"no"
"MICALCL",0.0438225752915951,-0.0247722645097108,"yes"
"MICAL2",0.0470862894246703,-0.0122145541525112,"no"
"CAMK1",0.0442379673042749,-0.0555503828719557,"no"
"SPIRE1",0.0386013373770378,-0.0586976816804517,"no"
"FST",0.0419398415237963,0.0361233113700928,"no"
"IL2RA",0.0419387102888835,-0.0561225366480567,"yes"
"CABLES1",0.034996048494896,-0.0199426422098681,"yes"
"EMP1",0.041961069941619,0.0206773790180927,"yes"
"KLRD1",0.0461970089269449,0.022086351003274,"yes"
"KLRC1",0.0461940414184957,-0.0338344909103104,"yes"
"MYBPC3",0.0332626095823654,0.0432421675386731,"no"
"GOLM1",0.0400702819698661,0.00549476831578584,"no"
"CCNJL",0.0429715027648128,-0.0180168568873965,"no"
"AHI1",0.0442765017310412,-0.00520447161220535,"yes"
"EGR4",0.027197746092345,0.0979460216439262,"no"
"EMX1",0.0322874440877845,-0.0341043503673323,"no"
"KCNK1",0.0272931898111695,0.0279320155575959,"no"
"RNASEL",0.0427687920668738,-0.0300346046363888,"no"
"ARMC9",0.0367769109408266,-0.057357696167137,"no"
"SLC41A2",0.0462382314689633,-0.00703642192629759,"yes"
"SPRY2",0.0435943331016852,-0.00616115291604836,"no"
"TNS3",0.0464122715661141,0.00050292905083236,"yes"
"HLX",0.0390459253123604,-0.0162832506829412,"yes"
"IL36G",0.0294469768307884,-0.0370079813149649,"no"
"STAM",0.0392122936885119,-0.0352165793624219,"no"
"KLF4",0.0353945020921252,0.0743010553229794,"yes"
"TINAG",0.0316238434267262,0.0398122220722609,"no"
"MYO7A",0.0394702280411375,0.00179101032869036,"no"
"RAB30",0.0232103549448301,0.0862600393801907,"no"
"FXYD6",0.0431883270219714,-0.0185240598534358,"yes"
"SQOR",0.0403978782178511,-0.0440880977479029,"no"
"CYP1B1",0.0401819136443693,0.00542712083321296,"yes"
"MYOF",0.0333998219353006,-0.0535895260068033,"no"
"DUSP5",0.0474881839172335,0.00378717069667702,"yes"
"ARL3",0.0426841815951885,-0.0522982131497928,"no"
"ENTPD1",0.0468868729421109,-0.0174226121350702,"no"
"ZNF365",0.0358138066083965,0.0732926349263485,"no"
"NAB1",0.0479040282194985,-0.0171087885799586,"no"
"HECW2",0.0425561292896455,-0.024343857001036,"no"
"SHF",0.0473825075884805,-0.000486536286708141,"yes"
"RASGEF1B",0.0383577671506485,0.061946144413565,"yes"
"FGF2",0.0421922282389201,0.0176408385081949,"no"
"RGS3",0.0426607916357953,-0.00804500251446932,"no"
"GABARAPL1",0.0351736449726564,0.0276379126583855,"no"
"KIF21A",0.0348158664739721,-0.061202845612815,"no"
"CPNE8",0.0432443047128196,0.0333102162056382,"no"
"PIANP",0.0320050135364851,0.0422778661405971,"no"
"PHLDA1",0.0449045756472411,0.0295323666175443,"no"
"SUOX",0.03998497806313,-0.035953066467449,"no"
"MBNL2",0.0475375503868302,0.0102522355439574,"no"
"FRMD6",0.0455065431670501,-0.0135570139478914,"no"
"C14orf79",0.025893277973751,0.0730801694141315,"no"
"DUOXA1",0.0326593476078569,0.00298140850317134,"no"
"TLE3",0.0382959985766877,0.0222039326868842,"no"
"TPM1",0.0362128731432469,0.0279650653621866,"yes"
"MCTP2",0.0481391002523498,-0.0181057032682979,"no"
"ITGAX",0.0398233828573589,-0.0418801721665877,"no"
"KSR1",0.0419656523534505,-0.0490369829574137,"no"
"SECTM1",0.0285870417588653,0.00742560408754126,"yes"
"TNFRSF11A",0.0466966676575478,-0.0235126516267421,"no"
"ERBB2",0.033723015898309,-0.0201088810530607,"no"
"IGLON5",0.0472130863178176,0.000802220510431815,"yes"
"ZNF697",0.0436727379876304,-0.000632162519277037,"no"
"ILDR2",0.0424700711382932,0.0114106146590513,"no"
"CASQ1",0.039423635030725,-0.00998135070357354,"no"
"RGS16",0.0423386615295654,-0.0154661291283049,"yes"
"RGL1",0.0460939260107241,-0.0140179912635251,"no"
"TUFT1",0.0439770678666489,-0.0278084780409773,"no"
"DYRK3",0.0403090470838836,0.0153957222133634,"no"
"DUSP10",0.0287056053225386,0.0747708371806958,"no"
"LYST",0.0393341283293635,-0.0470305714409443,"no"
"CDC42BPA",0.042635414179754,0.000674974727692335,"no"
"RHOB",0.0473578965791774,0.0214198372753857,"yes"
"NPHP1",0.0337288332674246,0.0359925885649234,"no"
"ITGA9",0.0450161328654593,-0.0168812325387407,"yes"
"ADPRH",0.0432291328225841,-0.0302108444417546,"no"
"ILDR1",0.0400922421297321,-0.0512980075098858,"no"
"PLK2",0.0382719111218635,0.0312015271371541,"yes"
"ANO7",0.0418134827206297,-0.00931920310057835,"no"
"TIAM2",0.0455732113395736,0.00187883215992674,"yes"
"PARD3",0.040277298625718,-0.0393016900183473,"no"
"CDHR1",0.0446192855609748,-0.00592226641730597,"yes"
"ZC3H12C",0.0479931404567332,0.00407841386961904,"yes"
"NCAM1",0.0324230297427319,0.0839386518207052,"yes"
"CD226",0.0489230014539463,-0.0145872097543035,"no"
"PRSS23",0.0430994698797395,0.034074597976405,"yes"
"ITPR1",0.04730428032653,-0.0273770367190268,"no"
"MAGI1",0.0444517567251894,-0.0390464416150675,"yes"
"CSNK1G3",0.0440695939588785,0.0270986314104465,"no"
"ME3",0.0451119521186064,0.00357743472860407,"no"
"INPP1",0.0423020939957565,-0.0566095998453927,"no"
"ACSL1",0.0398117142484117,-0.0101050680186672,"no"
"SAV1",0.0420414711731797,-0.0172670147139431,"no"
"PTPN14",0.0440757580245295,-0.0389261292410512,"yes"
"SETBP1",0.0318200721106437,-0.00658868183737976,"no"
"USP12",0.0472431263938807,0.0102775279860414,"no"
"TRIM36",0.0323932963612016,0.0860823985170314,"no"
"NR4A2",0.027566205959528,0.0426864477543148,"yes"
"ADPRHL1",0.0232947089353943,0.0550059176590986,"no"
"MCOLN2",0.0471672707750299,0.00394953836675041,"no"
"SEMA3D",0.0391660992695881,0.0340530040861753,"yes"
"GAL3ST2",0.0236663430583323,0.0436843449903737,"no"
"FAM167A",0.0304453148808527,0.0938900471258759,"no"
"CCDC173",0.0306979336764409,0.0883935002252212,"no"
"RABGEF1",0.0408178430014682,0.010318393950967,"no"
"RAB6B",0.0463751927657701,-0.0125906150603866,"yes"
"GRAMD2B",0.0448671188743172,0.0177104524224234,"no"
"PIK3AP1",0.0448270019482235,0.00653855964559664,"yes"
"CXCL13",0.0315729122782253,0.049856190747243,"no"
"FBXO32",0.0440426050449655,-0.0032336881886301,"yes"
"TSC22D3",0.0453079915589421,0.0417272970915672,"yes"
"NLRP14",0.041839610128055,-0.0231761916436424,"no"
"COPG2",0.0407330898413072,-0.0563034281338989,"no"
"RCAN1",0.044555854720905,-0.0407255491468806,"yes"
"ACTC1",0.0366771046036466,0.0372523770744832,"no"
"ISL2",0.0385932583688424,-0.0166946115018492,"no"
"TPPP3",0.0387475724679438,0.0557434229629399,"no"
"ZDHHC1",0.0381031571554349,-0.0428806359024479,"no"
"ZNF222",0.0210281652904906,0.0668428494537133,"no"
"ZNF235",0.0297649093328218,0.0474049773890409,"no"
"MPZL3",0.037871576515858,0.0679038341695533,"no"
"CXCR5",0.0371079254658456,0.0248560907354359,"no"
"SLC25A44",0.0393423370504427,-0.068487135312766,"no"
"LMNA",0.0452884915998323,0.0334004701837534,"yes"
"MYL3",0.0336086605228449,0.0404024838934,"yes"
"ZG16B",0.0370995475268755,-0.0285942653088901,"no"
"UBXN10",0.0453587788608846,0.0371040091417319,"yes"
"VCAM1",0.0373696251835645,0.058361580969561,"no"
"ATF3",0.0480218468467388,0.00686211910695228,"yes"
"REL",0.03089728841472,0.0556585320511875,"no"
"ACTG2",0.0229811407318262,0.022393805203711,"yes"
"SGPP2",0.0478074249289174,-0.0304155921454209,"yes"
"PPM1L",0.0421772909743424,-0.0287494539831764,"no"
"CTLA4",0.0400237872877551,0.0477109724878644,"no"
"RYBP",0.0480411661038324,-0.00515754801051073,"no"
"APBB2",0.0488139415847757,-0.0181979861684246,"yes"
"IL17RE",0.0425925328364574,-0.0124223509086482,"no"
"PLB1",0.0293016901084483,-0.0110986130149247,"no"
"CAMK2N2",0.0162733686235447,0.0694316838876108,"no"
"ANKRD33B",0.0424553542372128,0.0376676902316727,"no"
"ZNF704",0.0432199930575895,-0.0159438768221643,"yes"
"CTSB",0.0462837548814749,-0.0137787991742847,"yes"
"ADCY1",0.0436236930947111,-0.0379784756016657,"yes"
"OSR2",0.034247088098538,0.0753135442872336,"no"
"CTHRC1",0.0416913647609774,0.00524367676069632,"no"
"GEM",0.0443141442061304,0.0250935969799728,"yes"
"LETM2",0.0259964641110721,0.0721597383290282,"no"
"HECTD2",0.0390351010928634,0.0258783330652066,"no"
"TMEM63C",0.0384819186688338,-0.0291164855569591,"no"
"DRGX",0.0355256371166593,0.0690635047546351,"no"
"QSOX2",0.0359490899219857,-0.0758967520323727,"no"
"ARHGEF40",0.0383836063497493,-0.0228388527413467,"no"
"ABTB2",0.0296827135489609,0.078922150146789,"no"
"GPT2",0.0343166172620906,-0.0818542386238678,"no"
"USP54",0.0263042032605005,-0.00167299859897301,"no"
"SERPINB8",0.042950806237065,0.00526836626209174,"no"
"BEAN1",0.0290960728178038,-0.0184471286825861,"no"
"IQCD",0.0415748314739718,-0.0355777907549373,"no"
"RRAD",0.048992510986077,0.0152015911153285,"yes"
"ACSM1",0.0340237976624029,0.00313922316812434,"no"
"KIF7",0.0422276243615871,-0.0266216821579911,"no"
"DUSP18",0.0274368451052842,0.0658747536497369,"no"
"IRGQ",0.0333024546006447,-0.0726387282119279,"no"
"LAIR2",0.0341424871218094,0.0115066198116715,"yes"
"KRT80",0.028218207618856,0.0332227291483148,"no"
"TMEM88",0.0218251408108289,0.0880081018764131,"yes"
"VPS37C",0.0366880285877355,0.0295175029975342,"no"
"GNG4",0.0393373742251482,0.0337986415577518,"yes"
"XIRP1",0.0415733295101995,-0.0180126214066962,"no"
"FILIP1L",0.0362208826768387,0.0549511810972275,"no"
"TXNDC2",0.0376792361512686,-0.0338909038232829,"no"
"STAT3",0.0435394779366325,-0.0232589845063872,"no"
"ADAM9",0.0422479631524408,-0.0164286535266181,"no"
"TSPAN5",0.0340678294045372,-0.0497363817727805,"no"
"ATOH8",0.0233994182790693,0.0216150711217093,"no"
"TNIP2",0.0451711101325265,0.0166891694472716,"no"
"PXDC1",0.0288520325531445,0.081637376117795,"no"
"AFAP1L2",0.046140956486589,-0.0210140030126747,"yes"
"CXCL10",0.0447530431768333,0.00677929775863868,"yes"
"CLIC4",0.0442786237254566,-0.0457332776566605,"yes"
"ZEB2",0.0424865918144872,0.054070459453918,"yes"
"RGPD8",0.0346874933208839,-0.00406369598276474,"no"
"MT1E",0.0329253650926236,0.0592711633822383,"yes"
"P2RY1",0.0313500797590842,0.0202782326614153,"no"
"ZNF768",0.0439428220006974,-0.0424115434721287,"no"
"TAS1R3",0.0195353805796411,0.0613331227986671,"no"
"ZNF35",0.0382561789020264,0.0523160635154776,"no"
"IFFO2",0.0407057789478985,0.0663092606219044,"no"
"ZNF282",0.049390528608556,0.000172788176276227,"yes"
"SERPINB9",0.0377886642002078,-0.0200548758736269,"no"
"MTSS1",0.0459484862781845,-0.0417779680960376,"yes"
"CAVIN3",0.0447890754854613,-0.0349886986162357,"yes"
"PRKCE",0.0364167814498627,0.0201414926832474,"no"
"PDE7B",0.0350031458090865,0.0634025715183253,"no"
"ZNF584",0.033745281299061,-0.0242606448574517,"no"
"ZNF274",0.020815322955875,0.0797988670315948,"no"
"CEBPB",0.038439912010894,0.0135521668535712,"no"
"ARNT2",0.0453440160692146,-0.0324421692405601,"yes"
"FGGY",0.0466160286799457,-0.0284193532161253,"no"
"SMPDL3A",0.0449336415203319,-0.035755631724516,"no"
"TMEM217",0.0385650510808768,0.0407905277033287,"no"
"COL6A5",0.040248302836161,-0.0266813563376732,"yes"
"CYP7B1",0.0441364062340056,-0.0233919230409296,"yes"
"HPSE",0.0332671746340718,0.0468882398095942,"no"
"ABLIM3",0.0433485848806044,-0.0132970753754879,"no"
"TRIB1",0.039559583096277,0.0592844478549005,"yes"
"SNX33",0.0459906871339164,-0.0240992867036138,"yes"
"GOLIM4",0.0430244222274625,-0.0244730051758164,"no"
"ADCY6",0.0458258315718489,-0.024255195187571,"no"
"RIN1",0.0371431196341662,0.0564465468507707,"no"
"C4orf26",0.0408140595260174,0.0518321290276509,"yes"
"ASPHD1",0.0446963947308516,0.00699438326195548,"no"
"P2RY14",0.0353836300999646,0.00525747900844862,"no"
"SLC22A1",0.0316172250944306,-0.0244377493971499,"no"
"CSRP2",0.0273187348186987,0.0135661430537097,"no"
"DDIT3",0.0402085760203538,0.0505465807050233,"no"
